Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Oct 30 2001,7:00p,Boston Celtics,108,Cleveland Cavaliers,89,Box Score,,17748,
Tue Oct 30 2001,7:30p,Indiana Pacers,97,New Jersey Nets,103,Box Score,,8749,
Tue Oct 30 2001,7:30p,Washington Wizards,91,New York Knicks,93,Box Score,,19763,
Tue Oct 30 2001,7:30p,Toronto Raptors,85,Orlando Magic,114,Box Score,,16088,
Tue Oct 30 2001,8:00p,Philadelphia 76ers,74,Minnesota Timberwolves,83,Box Score,,18697,
Tue Oct 30 2001,8:30p,Detroit Pistons,87,Dallas Mavericks,94,Box Score,,19200,
Tue Oct 30 2001,8:30p,Atlanta Hawks,84,Houston Rockets,89,Box Score,OT,9500,
Tue Oct 30 2001,8:30p,Los Angeles Clippers,98,San Antonio Spurs,109,Box Score,,16803,
Tue Oct 30 2001,9:00p,Denver Nuggets,99,Phoenix Suns,96,Box Score,,16421,
Tue Oct 30 2001,9:00p,Milwaukee Bucks,119,Utah Jazz,112,Box Score,OT,18845,
Tue Oct 30 2001,10:00p,Seattle SuperSonics,95,Sacramento Kings,101,Box Score,,17317,
Tue Oct 30 2001,10:30p,Portland Trail Blazers,87,Los Angeles Lakers,98,Box Score,,18997,
Wed Oct 31 2001,7:00p,New Jersey Nets,95,Boston Celtics,92,Box Score,,14158,
Wed Oct 31 2001,7:00p,Cleveland Cavaliers,94,Charlotte Hornets,100,Box Score,,9002,
Wed Oct 31 2001,8:00p,Toronto Raptors,92,Miami Heat,97,Box Score,,16500,
Wed Oct 31 2001,8:30p,Indiana Pacers,98,Chicago Bulls,73,Box Score,,18163,
Wed Oct 31 2001,10:00p,Golden State Warriors,87,Portland Trail Blazers,92,Box Score,,19980,
Thu Nov 1 2001,7:00p,Dallas Mavericks,99,Philadelphia 76ers,92,Box Score,,20230,
Thu Nov 1 2001,8:00p,Washington Wizards,98,Atlanta Hawks,88,Box Score,,20072,
Thu Nov 1 2001,8:00p,Detroit Pistons,90,Memphis Grizzlies,80,Box Score,,19405,
Thu Nov 1 2001,8:30p,Los Angeles Clippers,92,Houston Rockets,98,Box Score,OT,9329,
Thu Nov 1 2001,9:00p,Milwaukee Bucks,102,Denver Nuggets,101,Box Score,,18634,
Thu Nov 1 2001,9:00p,Los Angeles Lakers,105,Utah Jazz,101,Box Score,,19539,
Thu Nov 1 2001,10:00p,San Antonio Spurs,108,Seattle SuperSonics,114,Box Score,,15491,
Thu Nov 1 2001,10:30p,Phoenix Suns,107,Golden State Warriors,101,Box Score,,14624,
Fri Nov 2 2001,7:00p,Orlando Magic,107,Indiana Pacers,117,Box Score,,18345,
Fri Nov 2 2001,7:00p,Dallas Mavericks,92,Toronto Raptors,109,Box Score,,19800,
Fri Nov 2 2001,7:30p,Chicago Bulls,82,Boston Celtics,96,Box Score,,14361,
Fri Nov 2 2001,7:30p,New York Knicks,93,Charlotte Hornets,97,Box Score,,13588,
Fri Nov 2 2001,7:30p,Cleveland Cavaliers,90,Miami Heat,83,Box Score,,15208,
Fri Nov 2 2001,8:00p,New Jersey Nets,88,Detroit Pistons,102,Box Score,,22076,
Fri Nov 2 2001,8:00p,Memphis Grizzlies,102,Minnesota Timberwolves,111,Box Score,,16922,
Fri Nov 2 2001,10:30p,Phoenix Suns,94,Los Angeles Lakers,117,Box Score,,18997,
Sat Nov 3 2001,6:30p,Philadelphia 76ers,76,Washington Wizards,90,Box Score,,20674,
Sat Nov 3 2001,7:00p,Miami Heat,83,Atlanta Hawks,90,Box Score,,9472,
Sat Nov 3 2001,8:00p,Charlotte Hornets,85,New Jersey Nets,95,Box Score,,6532,
Sat Nov 3 2001,8:30p,New York Knicks,79,Chicago Bulls,84,Box Score,,18064,
Sat Nov 3 2001,8:30p,Orlando Magic,99,Cleveland Cavaliers,69,Box Score,,16930,
Sat Nov 3 2001,8:30p,Minnesota Timberwolves,90,Houston Rockets,88,Box Score,,10724,
Sat Nov 3 2001,8:30p,Boston Celtics,99,Milwaukee Bucks,105,Box Score,,18717,
Sat Nov 3 2001,9:00p,Sacramento Kings,106,Denver Nuggets,94,Box Score,,15138,
Sat Nov 3 2001,9:00p,Utah Jazz,91,Seattle SuperSonics,74,Box Score,,15370,
Sat Nov 3 2001,10:00p,San Antonio Spurs,106,Portland Trail Blazers,90,Box Score,,19980,
Sat Nov 3 2001,10:30p,Golden State Warriors,110,Los Angeles Clippers,108,Box Score,OT,19445,
Sun Nov 4 2001,3:00p,Dallas Mavericks,94,Memphis Grizzlies,85,Box Score,,13177,
Sun Nov 4 2001,5:30p,Indiana Pacers,100,Toronto Raptors,113,Box Score,,18825,
Sun Nov 4 2001,7:00p,Washington Wizards,78,Detroit Pistons,100,Box Score,,22076,
Sun Nov 4 2001,8:00p,Houston Rockets,103,Phoenix Suns,100,Box Score,,13562,
Sun Nov 4 2001,9:00p,Portland Trail Blazers,86,Golden State Warriors,96,Box Score,,12724,
Sun Nov 4 2001,9:00p,San Antonio Spurs,83,Sacramento Kings,103,Box Score,,17317,
Sun Nov 4 2001,9:30p,Utah Jazz,96,Los Angeles Lakers,100,Box Score,,18997,
Mon Nov 5 2001,7:30p,Seattle SuperSonics,123,Orlando Magic,119,Box Score,2OT,13723,
Mon Nov 5 2001,10:30p,Atlanta Hawks,86,Los Angeles Clippers,109,Box Score,,13722,
Tue Nov 6 2001,7:00p,Sacramento Kings,115,Cleveland Cavaliers,99,Box Score,,14584,
Tue Nov 6 2001,7:00p,Indiana Pacers,87,Philadelphia 76ers,77,Box Score,,20274,
Tue Nov 6 2001,7:30p,Seattle SuperSonics,85,Miami Heat,87,Box Score,OT,16500,
Tue Nov 6 2001,8:00p,New York Knicks,94,Minnesota Timberwolves,104,Box Score,,16444,
Tue Nov 6 2001,8:00p,Orlando Magic,89,San Antonio Spurs,104,Box Score,,15927,
Tue Nov 6 2001,8:30p,Charlotte Hornets,92,Dallas Mavericks,110,Box Score,,16905,
Tue Nov 6 2001,8:30p,Denver Nuggets,93,Houston Rockets,99,Box Score,,9671,
Tue Nov 6 2001,9:00p,Memphis Grizzlies,101,Phoenix Suns,113,Box Score,,12765,
Tue Nov 6 2001,10:00p,Utah Jazz,83,Portland Trail Blazers,101,Box Score,,19980,
Wed Nov 7 2001,7:00p,Golden State Warriors,92,Toronto Raptors,109,Box Score,,18887,
Wed Nov 7 2001,7:30p,Cleveland Cavaliers,64,New York Knicks,82,Box Score,,19763,
Wed Nov 7 2001,8:00p,Washington Wizards,95,Boston Celtics,104,Box Score,,18624,
Wed Nov 7 2001,8:00p,Sacramento Kings,104,Indiana Pacers,116,Box Score,,15309,
Wed Nov 7 2001,8:30p,Detroit Pistons,97,Chicago Bulls,73,Box Score,,17023,
Wed Nov 7 2001,9:00p,Atlanta Hawks,89,Utah Jazz,96,Box Score,,17538,
Wed Nov 7 2001,10:30p,Memphis Grizzlies,92,Los Angeles Clippers,108,Box Score,,13835,
Thu Nov 8 2001,7:00p,San Antonio Spurs,105,Charlotte Hornets,95,Box Score,,9511,
Thu Nov 8 2001,7:30p,Seattle SuperSonics,94,New Jersey Nets,106,Box Score,,5277,
Thu Nov 8 2001,8:00p,Miami Heat,82,Milwaukee Bucks,86,Box Score,,18364,
Thu Nov 8 2001,8:00p,Chicago Bulls,74,Minnesota Timberwolves,127,Box Score,,15719,
Thu Nov 8 2001,8:30p,Denver Nuggets,91,Dallas Mavericks,105,Box Score,,17471,
Thu Nov 8 2001,9:00p,Philadelphia 76ers,72,Houston Rockets,77,Box Score,,12351,
Thu Nov 8 2001,9:00p,Atlanta Hawks,80,Phoenix Suns,108,Box Score,,13206,
Thu Nov 8 2001,10:00p,Los Angeles Clippers,101,Portland Trail Blazers,119,Box Score,,19980,
Fri Nov 9 2001,7:00p,New York Knicks,95,Indiana Pacers,103,Box Score,,16494,
Fri Nov 9 2001,7:00p,Golden State Warriors,109,Washington Wizards,100,Box Score,,20674,
Fri Nov 9 2001,7:30p,Seattle SuperSonics,94,Boston Celtics,104,Box Score,,15575,
Fri Nov 9 2001,7:30p,Sacramento Kings,105,Orlando Magic,115,Box Score,,17248,
Fri Nov 9 2001,9:00p,Houston Rockets,81,Denver Nuggets,108,Box Score,,11451,
Fri Nov 9 2001,10:30p,Memphis Grizzlies,86,Los Angeles Lakers,110,Box Score,,18997,
Sat Nov 10 2001,1:00p,Cleveland Cavaliers,84,New Jersey Nets,87,Box Score,,5631,
Sat Nov 10 2001,3:30p,Phoenix Suns,102,Los Angeles Clippers,111,Box Score,,17111,
Sat Nov 10 2001,7:30p,Sacramento Kings,90,Miami Heat,75,Box Score,,17853,
Sat Nov 10 2001,7:30p,Golden State Warriors,90,New York Knicks,71,Box Score,,19763,
Sat Nov 10 2001,8:00p,Portland Trail Blazers,96,Indiana Pacers,105,Box Score,,18345,
Sat Nov 10 2001,8:30p,Charlotte Hornets,89,Chicago Bulls,85,Box Score,,20406,
Sat Nov 10 2001,8:30p,Philadelphia 76ers,98,Dallas Mavericks,91,Box Score,,19857,
Sat Nov 10 2001,8:30p,Minnesota Timberwolves,98,Milwaukee Bucks,82,Box Score,,18717,
Sat Nov 10 2001,8:30p,Atlanta Hawks,88,San Antonio Spurs,110,Box Score,,20403,
Sat Nov 10 2001,9:00p,Toronto Raptors,117,Utah Jazz,96,Box Score,,18194,
Sun Nov 11 2001,1:00p,Seattle SuperSonics,99,Washington Wizards,84,Box Score,,20674,
Sun Nov 11 2001,6:00p,Portland Trail Blazers,100,Detroit Pistons,98,Box Score,,13671,
Sun Nov 11 2001,9:00p,Toronto Raptors,85,Denver Nuggets,96,Box Score,,13735,
Sun Nov 11 2001,9:30p,Orlando Magic,95,Los Angeles Lakers,108,Box Score,,18997,
Mon Nov 12 2001,8:00p,Golden State Warriors,86,Memphis Grizzlies,79,Box Score,,11126,
Mon Nov 12 2001,9:00p,Orlando Magic,98,Utah Jazz,105,Box Score,,18135,
Tue Nov 13 2001,7:00p,New Jersey Nets,91,Indiana Pacers,82,Box Score,,15188,
Tue Nov 13 2001,7:30p,Philadelphia 76ers,82,Miami Heat,76,Box Score,,15465,
Tue Nov 13 2001,7:30p,Portland Trail Blazers,82,New York Knicks,89,Box Score,,19763,
Tue Nov 13 2001,8:00p,Cleveland Cavaliers,107,Minnesota Timberwolves,103,Box Score,,13605,
Tue Nov 13 2001,8:00p,Toronto Raptors,86,Sacramento Kings,95,Box Score,,17317,
Tue Nov 13 2001,8:30p,Houston Rockets,86,San Antonio Spurs,90,Box Score,,15643,
Tue Nov 13 2001,9:00p,Chicago Bulls,93,Denver Nuggets,101,Box Score,,11307,
Tue Nov 13 2001,10:00p,Phoenix Suns,92,Seattle SuperSonics,91,Box Score,,10880,
Wed Nov 14 2001,7:00p,Indiana Pacers,93,Boston Celtics,101,Box Score,,14081,
Wed Nov 14 2001,7:00p,Dallas Mavericks,107,Cleveland Cavaliers,94,Box Score,,12414,
Wed Nov 14 2001,7:00p,Charlotte Hornets,86,Philadelphia 76ers,100,Box Score,,20153,
Wed Nov 14 2001,7:00p,Milwaukee Bucks,107,Washington Wizards,98,Box Score,,20674,
Wed Nov 14 2001,7:30p,Utah Jazz,79,Atlanta Hawks,111,Box Score,,8558,
Wed Nov 14 2001,8:00p,Orlando Magic,93,Phoenix Suns,92,Box Score,,17393,
Wed Nov 14 2001,10:30p,Toronto Raptors,89,Golden State Warriors,82,Box Score,,18269,
Wed Nov 14 2001,10:30p,Chicago Bulls,102,Los Angeles Clippers,106,Box Score,,14788,
Thu Nov 15 2001,7:30p,Dallas Mavericks,89,Detroit Pistons,115,Box Score,,13445,
Thu Nov 15 2001,7:30p,Miami Heat,74,New York Knicks,83,Box Score,,19763,
Thu Nov 15 2001,8:00p,Portland Trail Blazers,101,Memphis Grizzlies,85,Box Score,,10161,
Thu Nov 15 2001,9:00p,Orlando Magic,101,Denver Nuggets,82,Box Score,,12015,
Thu Nov 15 2001,9:00p,Los Angeles Lakers,98,Houston Rockets,97,Box Score,OT,16285,
Fri Nov 16 2001,7:00p,Minnesota Timberwolves,120,Indiana Pacers,113,Box Score,2OT,17097,
Fri Nov 16 2001,7:00p,Atlanta Hawks,78,Philadelphia 76ers,98,Box Score,,20424,
Fri Nov 16 2001,7:00p,Utah Jazz,101,Washington Wizards,92,Box Score,,20674,
Fri Nov 16 2001,7:30p,Charlotte Hornets,96,Miami Heat,87,Box Score,,15322,
Fri Nov 16 2001,7:30p,New York Knicks,83,New Jersey Nets,109,Box Score,,15638,
Fri Nov 16 2001,8:30p,Cleveland Cavaliers,91,San Antonio Spurs,105,Box Score,,19222,
Fri Nov 16 2001,9:00p,Los Angeles Lakers,83,Phoenix Suns,95,Box Score,,19023,
Fri Nov 16 2001,10:00p,Chicago Bulls,71,Sacramento Kings,105,Box Score,,17317,
Fri Nov 16 2001,10:00p,Golden State Warriors,91,Seattle SuperSonics,100,Box Score,,11714,
Fri Nov 16 2001,10:30p,Toronto Raptors,94,Los Angeles Clippers,85,Box Score,,18964,
Sat Nov 17 2001,7:00p,Boston Celtics,103,Atlanta Hawks,112,Box Score,,10563,
Sat Nov 17 2001,7:30p,Portland Trail Blazers,97,Charlotte Hornets,87,Box Score,,10724,
Sat Nov 17 2001,7:30p,Indiana Pacers,98,Detroit Pistons,104,Box Score,,22076,
Sat Nov 17 2001,8:00p,Cleveland Cavaliers,93,Memphis Grizzlies,98,Box Score,,13874,
Sat Nov 17 2001,8:00p,Orlando Magic,95,Minnesota Timberwolves,103,Box Score,,19479,
Sat Nov 17 2001,8:00p,Philadelphia 76ers,94,New Jersey Nets,82,Box Score,,17318,
Sat Nov 17 2001,8:30p,Dallas Mavericks,87,Houston Rockets,124,Box Score,,11978,
Sat Nov 17 2001,8:30p,Utah Jazz,93,Milwaukee Bucks,104,Box Score,,18717,
Sat Nov 17 2001,10:30p,Chicago Bulls,88,Golden State Warriors,93,Box Score,,13076,
Sat Nov 17 2001,10:30p,Denver Nuggets,103,Seattle SuperSonics,93,Box Score,,11992,
Sun Nov 18 2001,3:30p,New York Knicks,86,Los Angeles Clippers,99,Box Score,,17334,
Sun Nov 18 2001,8:00p,Toronto Raptors,87,Phoenix Suns,81,Box Score,,14823,
Sun Nov 18 2001,9:30p,Sacramento Kings,85,Los Angeles Lakers,93,Box Score,,18997,
Mon Nov 19 2001,9:00p,New Jersey Nets,96,Denver Nuggets,99,Box Score,OT,11319,
Mon Nov 19 2001,10:00p,Houston Rockets,77,Sacramento Kings,113,Box Score,,17317,
Tue Nov 20 2001,6:30p,Detroit Pistons,88,Toronto Raptors,84,Box Score,,19800,
Tue Nov 20 2001,7:00p,Atlanta Hawks,102,Indiana Pacers,106,Box Score,,15278,
Tue Nov 20 2001,8:00p,Minnesota Timberwolves,80,Miami Heat,73,Box Score,,15226,
Tue Nov 20 2001,8:00p,Charlotte Hornets,95,Washington Wizards,88,Box Score,,20674,
Tue Nov 20 2001,8:30p,Seattle SuperSonics,105,Dallas Mavericks,97,Box Score,,18949,
Tue Nov 20 2001,10:00p,Houston Rockets,94,Portland Trail Blazers,87,Box Score,,18210,
Tue Nov 20 2001,10:30p,New York Knicks,94,Golden State Warriors,70,Box Score,,16320,
Tue Nov 20 2001,10:30p,Los Angeles Lakers,98,Los Angeles Clippers,93,Box Score,,20316,
Wed Nov 21 2001,7:00p,Atlanta Hawks,92,Boston Celtics,85,Box Score,,13500,
Wed Nov 21 2001,7:00p,Dallas Mavericks,89,Charlotte Hornets,78,Box Score,,8932,
Wed Nov 21 2001,7:00p,Memphis Grizzlies,94,Cleveland Cavaliers,101,Box Score,,10804,
Wed Nov 21 2001,7:00p,Detroit Pistons,89,Philadelphia 76ers,94,Box Score,,20315,
Wed Nov 21 2001,7:30p,Minnesota Timberwolves,106,Orlando Magic,117,Box Score,,15014,
Wed Nov 21 2001,8:00p,Chicago Bulls,92,Milwaukee Bucks,96,Box Score,,18717,
Wed Nov 21 2001,8:30p,Seattle SuperSonics,93,San Antonio Spurs,110,Box Score,,18163,
Wed Nov 21 2001,9:00p,Los Angeles Lakers,89,Denver Nuggets,68,Box Score,,19521,
Wed Nov 21 2001,9:00p,New York Knicks,72,Phoenix Suns,96,Box Score,,15740,
Wed Nov 21 2001,9:00p,New Jersey Nets,90,Utah Jazz,89,Box Score,OT,17413,
Wed Nov 21 2001,10:00p,Portland Trail Blazers,83,Sacramento Kings,95,Box Score,,17317,
Thu Nov 22 2001,8:00p,Washington Wizards,103,Indiana Pacers,110,Box Score,,18345,
Thu Nov 22 2001,8:00p,Milwaukee Bucks,78,Toronto Raptors,75,Box Score,,19800,
Thu Nov 22 2001,10:30p,New Jersey Nets,95,Los Angeles Clippers,90,Box Score,,13172,
Fri Nov 23 2001,7:00p,Cleveland Cavaliers,68,Philadelphia 76ers,79,Box Score,,20691,
Fri Nov 23 2001,7:30p,Detroit Pistons,99,Atlanta Hawks,106,Box Score,,10717,
Fri Nov 23 2001,7:30p,Toronto Raptors,91,Boston Celtics,89,Box Score,,18624,
Fri Nov 23 2001,7:30p,Orlando Magic,109,Charlotte Hornets,99,Box Score,,12097,
Fri Nov 23 2001,7:30p,Dallas Mavericks,104,Miami Heat,94,Box Score,,15486,
Fri Nov 23 2001,8:00p,San Antonio Spurs,97,Indiana Pacers,79,Box Score,,18345,
Fri Nov 23 2001,8:00p,Phoenix Suns,103,Memphis Grizzlies,89,Box Score,,16308,
Fri Nov 23 2001,9:00p,Los Angeles Clippers,101,Utah Jazz,106,Box Score,,17942,
Fri Nov 23 2001,10:00p,Denver Nuggets,90,Portland Trail Blazers,97,Box Score,,19479,
Fri Nov 23 2001,10:00p,Houston Rockets,81,Seattle SuperSonics,99,Box Score,,12838,
Fri Nov 23 2001,10:30p,Golden State Warriors,90,Los Angeles Lakers,106,Box Score,,18997,
Sat Nov 24 2001,1:00p,Chicago Bulls,71,New York Knicks,78,Box Score,,19763,
Sat Nov 24 2001,7:00p,Boston Celtics,84,Washington Wizards,88,Box Score,OT,20674,
Sat Nov 24 2001,7:30p,Miami Heat,96,Cleveland Cavaliers,100,Box Score,OT,14051,
Sat Nov 24 2001,7:30p,Memphis Grizzlies,84,Detroit Pistons,91,Box Score,,15256,
Sat Nov 24 2001,7:30p,Charlotte Hornets,103,Orlando Magic,101,Box Score,,14003,
Sat Nov 24 2001,8:00p,San Antonio Spurs,94,Minnesota Timberwolves,99,Box Score,,19006,
Sat Nov 24 2001,8:30p,Phoenix Suns,104,Dallas Mavericks,119,Box Score,,19869,
Sat Nov 24 2001,9:00p,Atlanta Hawks,88,Milwaukee Bucks,95,Box Score,,18717,
