Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Nov 24 2001,10:00p,New Jersey Nets,97,Sacramento Kings,98,Box Score,,17317,
Sun Nov 25 2001,12:30p,Philadelphia 76ers,88,Toronto Raptors,107,Box Score,,19800,
Sun Nov 25 2001,3:30p,Houston Rockets,83,Los Angeles Clippers,90,Box Score,,15914,
Sun Nov 25 2001,7:00p,Indiana Pacers,88,Seattle SuperSonics,99,Box Score,,12695,
Sun Nov 25 2001,9:00p,New Jersey Nets,85,Golden State Warriors,101,Box Score,,13129,
Sun Nov 25 2001,9:30p,Denver Nuggets,98,Los Angeles Lakers,105,Box Score,,18997,
Mon Nov 26 2001,7:30p,Atlanta Hawks,83,New York Knicks,88,Box Score,,19763,
Mon Nov 26 2001,7:30p,Detroit Pistons,105,Orlando Magic,100,Box Score,,12510,
Mon Nov 26 2001,8:00p,Sacramento Kings,94,Memphis Grizzlies,98,Box Score,,12215,
Mon Nov 26 2001,9:00p,Phoenix Suns,111,Utah Jazz,104,Box Score,OT,17720,
Tue Nov 27 2001,7:00p,Washington Wizards,75,Cleveland Cavaliers,94,Box Score,,20562,
Tue Nov 27 2001,7:30p,Boston Celtics,84,Miami Heat,83,Box Score,,15064,
Tue Nov 27 2001,7:30p,Chicago Bulls,68,New Jersey Nets,100,Box Score,,5234,
Tue Nov 27 2001,8:00p,Sacramento Kings,89,Houston Rockets,84,Box Score,,10467,
Tue Nov 27 2001,8:30p,Golden State Warriors,106,Dallas Mavericks,116,Box Score,,17110,
Tue Nov 27 2001,10:00p,Indiana Pacers,90,Portland Trail Blazers,96,Box Score,,18511,
Tue Nov 27 2001,10:00p,Minnesota Timberwolves,102,Seattle SuperSonics,112,Box Score,,11663,
Tue Nov 27 2001,10:30p,Milwaukee Bucks,85,Los Angeles Lakers,104,Box Score,,18997,
Wed Nov 28 2001,7:30p,New York Knicks,105,Atlanta Hawks,100,Box Score,,10997,
Wed Nov 28 2001,7:30p,Charlotte Hornets,104,Detroit Pistons,96,Box Score,,14542,
Wed Nov 28 2001,8:00p,Washington Wizards,94,Philadelphia 76ers,87,Box Score,,20931,
Wed Nov 28 2001,8:30p,Golden State Warriors,83,San Antonio Spurs,94,Box Score,,16442,
Wed Nov 28 2001,9:00p,Indiana Pacers,99,Denver Nuggets,85,Box Score,,14542,
Wed Nov 28 2001,9:00p,Milwaukee Bucks,84,Phoenix Suns,104,Box Score,,15590,
Wed Nov 28 2001,9:00p,Seattle SuperSonics,88,Utah Jazz,112,Box Score,,18337,
Wed Nov 28 2001,10:30p,Minnesota Timberwolves,75,Los Angeles Clippers,94,Box Score,,16335,
Thu Nov 29 2001,6:30p,Memphis Grizzlies,88,Toronto Raptors,91,Box Score,,19800,
Thu Nov 29 2001,7:00p,Atlanta Hawks,105,Cleveland Cavaliers,96,Box Score,,11201,
Thu Nov 29 2001,7:30p,Boston Celtics,99,Orlando Magic,89,Box Score,,14519,
Thu Nov 29 2001,8:30p,Miami Heat,72,Chicago Bulls,78,Box Score,,17003,
Thu Nov 29 2001,8:30p,Sacramento Kings,110,Dallas Mavericks,98,Box Score,,18384,
Fri Nov 30 2001,7:30p,Detroit Pistons,110,Charlotte Hornets,105,Box Score,,8727,
Fri Nov 30 2001,7:30p,Washington Wizards,84,Miami Heat,75,Box Score,,20118,
Fri Nov 30 2001,8:00p,Houston Rockets,85,Memphis Grizzlies,102,Box Score,,12344,
Fri Nov 30 2001,8:30p,Sacramento Kings,109,San Antonio Spurs,106,Box Score,OT,26808,
Fri Nov 30 2001,9:00p,Los Angeles Clippers,93,Denver Nuggets,96,Box Score,,14187,
Fri Nov 30 2001,9:00p,Utah Jazz,76,Phoenix Suns,98,Box Score,,15046,
Fri Nov 30 2001,10:00p,Milwaukee Bucks,95,Portland Trail Blazers,101,Box Score,,18723,
Fri Nov 30 2001,10:00p,Los Angeles Lakers,107,Seattle SuperSonics,92,Box Score,,17072,
Sat Dec 1 2001,1:00p,Boston Celtics,105,New Jersey Nets,98,Box Score,OT,11379,
Sat Dec 1 2001,2:00p,Toronto Raptors,104,Atlanta Hawks,103,Box Score,,18628,
Sat Dec 1 2001,6:30p,Orlando Magic,96,Washington Wizards,87,Box Score,,20674,
Sat Dec 1 2001,7:30p,Charlotte Hornets,81,Cleveland Cavaliers,93,Box Score,,12498,
Sat Dec 1 2001,8:00p,Detroit Pistons,100,New York Knicks,97,Box Score,,19763,
Sat Dec 1 2001,8:30p,Philadelphia 76ers,93,Chicago Bulls,76,Box Score,,20212,
Sat Dec 1 2001,8:30p,San Antonio Spurs,85,Houston Rockets,75,Box Score,,12232,
Sat Dec 1 2001,9:00p,Indiana Pacers,100,Utah Jazz,97,Box Score,,17885,
Sat Dec 1 2001,10:00p,Phoenix Suns,97,Portland Trail Blazers,83,Box Score,,18487,
Sat Dec 1 2001,10:30p,Dallas Mavericks,111,Golden State Warriors,82,Box Score,,14122,
Sat Dec 1 2001,10:30p,Minnesota Timberwolves,76,Los Angeles Lakers,102,Box Score,,18997,
Sun Dec 2 2001,3:00p,Boston Celtics,85,Toronto Raptors,69,Box Score,,19800,
Sun Dec 2 2001,6:00p,Memphis Grizzlies,93,Philadelphia 76ers,87,Box Score,,20433,
Sun Dec 2 2001,9:00p,Indiana Pacers,72,Los Angeles Clippers,103,Box Score,,16737,
Sun Dec 2 2001,9:00p,Dallas Mavericks,120,Sacramento Kings,114,Box Score,OT,17317,
Sun Dec 2 2001,9:00p,Milwaukee Bucks,83,Seattle SuperSonics,97,Box Score,,13595,
Mon Dec 3 2001,7:30p,Houston Rockets,86,New York Knicks,89,Box Score,,19763,
Mon Dec 3 2001,7:30p,Memphis Grizzlies,71,Orlando Magic,113,Box Score,,13340,
Mon Dec 3 2001,9:00p,Golden State Warriors,93,Phoenix Suns,110,Box Score,,13656,
Tue Dec 4 2001,7:00p,Detroit Pistons,88,Cleveland Cavaliers,100,Box Score,,13375,
Tue Dec 4 2001,7:00p,Denver Nuggets,96,Indiana Pacers,104,Box Score,,16340,
Tue Dec 4 2001,8:00p,New York Knicks,85,Milwaukee Bucks,71,Box Score,,17416,
Tue Dec 4 2001,8:00p,Seattle SuperSonics,83,Minnesota Timberwolves,108,Box Score,,16182,
Tue Dec 4 2001,8:00p,Philadelphia 76ers,84,Sacramento Kings,94,Box Score,,17317,
Tue Dec 4 2001,8:30p,Houston Rockets,75,Chicago Bulls,103,Box Score,,18309,
Tue Dec 4 2001,8:30p,Washington Wizards,88,San Antonio Spurs,103,Box Score,,35052,
Tue Dec 4 2001,9:00p,Charlotte Hornets,100,Utah Jazz,104,Box Score,,17115,
Tue Dec 4 2001,10:30p,Miami Heat,83,Los Angeles Clippers,87,Box Score,,16594,
Wed Dec 5 2001,7:00p,Denver Nuggets,80,Boston Celtics,95,Box Score,,12587,
Wed Dec 5 2001,7:30p,San Antonio Spurs,120,Atlanta Hawks,112,Box Score,,8253,
Wed Dec 5 2001,7:30p,Seattle SuperSonics,91,Detroit Pistons,95,Box Score,,14474,
Wed Dec 5 2001,7:30p,Chicago Bulls,74,Orlando Magic,102,Box Score,,13023,
Wed Dec 5 2001,8:00p,Phoenix Suns,87,New Jersey Nets,106,Box Score,,11452,
Wed Dec 5 2001,10:30p,Philadelphia 76ers,87,Golden State Warriors,93,Box Score,,18362,
Wed Dec 5 2001,10:30p,Dallas Mavericks,94,Los Angeles Lakers,98,Box Score,,18997,
Thu Dec 6 2001,8:00p,Minnesota Timberwolves,105,Memphis Grizzlies,80,Box Score,,12861,
Thu Dec 6 2001,8:30p,Washington Wizards,85,Houston Rockets,82,Box Score,,16285,
Thu Dec 6 2001,9:00p,Toronto Raptors,89,Milwaukee Bucks,95,Box Score,,18717,
Thu Dec 6 2001,10:00p,Charlotte Hornets,95,Portland Trail Blazers,89,Box Score,,18102,
Fri Dec 7 2001,7:00p,Chicago Bulls,83,Indiana Pacers,98,Box Score,,16568,
Fri Dec 7 2001,7:00p,Denver Nuggets,96,Toronto Raptors,98,Box Score,OT,19800,
Fri Dec 7 2001,7:30p,Phoenix Suns,102,Boston Celtics,109,Box Score,OT,15050,
Fri Dec 7 2001,7:30p,Cleveland Cavaliers,84,New Jersey Nets,96,Box Score,,8209,
Fri Dec 7 2001,7:30p,Atlanta Hawks,94,Orlando Magic,129,Box Score,,13541,
Fri Dec 7 2001,8:30p,Philadelphia 76ers,76,San Antonio Spurs,86,Box Score,,29836,
Fri Dec 7 2001,10:00p,Los Angeles Lakers,91,Sacramento Kings,97,Box Score,,17317,
Fri Dec 7 2001,10:00p,Miami Heat,98,Seattle SuperSonics,94,Box Score,OT,13645,
Fri Dec 7 2001,10:30p,Charlotte Hornets,106,Golden State Warriors,89,Box Score,,12221,
Fri Dec 7 2001,10:30p,Utah Jazz,102,Los Angeles Clippers,86,Box Score,,16130,
Sat Dec 8 2001,7:00p,Orlando Magic,104,Atlanta Hawks,107,Box Score,,14836,
Sat Dec 8 2001,7:30p,Denver Nuggets,99,Cleveland Cavaliers,109,Box Score,,13092,
Sat Dec 8 2001,7:30p,Indiana Pacers,99,New York Knicks,101,Box Score,,19763,
