Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Nov 4 2000,9:00p,Phoenix Suns,102,Denver Nuggets,99,Box Score,,13312,
Sat Nov 4 2000,10:00p,Portland Trail Blazers,97,Seattle SuperSonics,90,Box Score,,17072,
Sat Nov 4 2000,10:30p,San Antonio Spurs,117,Golden State Warriors,105,Box Score,,16121,
Sat Nov 4 2000,10:30p,Houston Rockets,74,Los Angeles Clippers,77,Box Score,,10797,
Sun Nov 5 2000,8:00p,Houston Rockets,99,Phoenix Suns,104,Box Score,,16735,
Sun Nov 5 2000,9:30p,Los Angeles Clippers,103,Los Angeles Lakers,108,Box Score,,18997,
Mon Nov 6 2000,7:30p,Seattle SuperSonics,99,Orlando Magic,110,Box Score,,12460,
Mon Nov 6 2000,9:00p,Dallas Mavericks,108,Denver Nuggets,96,Box Score,,11190,
Mon Nov 6 2000,9:00p,Minnesota Timberwolves,92,Utah Jazz,98,Box Score,,19911,
Mon Nov 6 2000,10:00p,Atlanta Hawks,87,Vancouver Grizzlies,97,Box Score,,11639,
Mon Nov 6 2000,10:30p,Portland Trail Blazers,75,Sacramento Kings,79,Box Score,,17317,
Tue Nov 7 2000,7:00p,Boston Celtics,75,Toronto Raptors,105,Box Score,,17379,
Tue Nov 7 2000,8:00p,New York Knicks,103,Milwaukee Bucks,89,Box Score,,14246,
Tue Nov 7 2000,8:30p,Washington Wizards,88,Chicago Bulls,83,Box Score,,21312,
Tue Nov 7 2000,8:30p,Los Angeles Lakers,74,Houston Rockets,84,Box Score,,14473,
Tue Nov 7 2000,9:00p,San Antonio Spurs,81,Phoenix Suns,100,Box Score,,16683,
Tue Nov 7 2000,10:00p,Atlanta Hawks,88,Portland Trail Blazers,97,Box Score,,19980,
Wed Nov 8 2000,7:00p,Milwaukee Bucks,97,Indiana Pacers,108,Box Score,,17684,
Wed Nov 8 2000,7:00p,Detroit Pistons,94,Philadelphia 76ers,103,Box Score,,15986,
Wed Nov 8 2000,7:00p,New Jersey Nets,102,Washington Wizards,86,Box Score,,11532,
Wed Nov 8 2000,7:30p,Seattle SuperSonics,81,Miami Heat,87,Box Score,,15083,
Wed Nov 8 2000,7:30p,Cleveland Cavaliers,99,New York Knicks,97,Box Score,,19763,
Wed Nov 8 2000,7:30p,Charlotte Hornets,96,Orlando Magic,90,Box Score,,12617,
Wed Nov 8 2000,8:00p,Vancouver Grizzlies,101,Dallas Mavericks,74,Box Score,,11500,
Wed Nov 8 2000,8:00p,Los Angeles Lakers,81,San Antonio Spurs,91,Box Score,,26065,
Wed Nov 8 2000,9:00p,Minnesota Timberwolves,107,Denver Nuggets,109,Box Score,OT,10549,
Wed Nov 8 2000,10:30p,Utah Jazz,93,Los Angeles Clippers,87,Box Score,OT,10292,
Wed Nov 8 2000,10:30p,Golden State Warriors,84,Sacramento Kings,115,Box Score,,17317,
Thu Nov 9 2000,7:30p,Seattle SuperSonics,102,Charlotte Hornets,94,Box Score,,17054,
Thu Nov 9 2000,7:30p,Detroit Pistons,108,New Jersey Nets,94,Box Score,,10000,
Thu Nov 9 2000,8:00p,Philadelphia 76ers,84,Minnesota Timberwolves,82,Box Score,,16119,
Thu Nov 9 2000,8:30p,Orlando Magic,90,Chicago Bulls,95,Box Score,,21844,
Thu Nov 9 2000,8:30p,Vancouver Grizzlies,78,Houston Rockets,85,Box Score,,10906,
Thu Nov 9 2000,9:00p,Atlanta Hawks,79,Phoenix Suns,88,Box Score,,16792,
Thu Nov 9 2000,10:00p,Denver Nuggets,91,Portland Trail Blazers,107,Box Score,,19996,
Fri Nov 10 2000,7:00p,Cleveland Cavaliers,88,Toronto Raptors,115,Box Score,,19800,
Fri Nov 10 2000,7:00p,Indiana Pacers,86,Washington Wizards,74,Box Score,,19955,
Fri Nov 10 2000,7:30p,New York Knicks,103,Boston Celtics,101,Box Score,OT,18624,
Fri Nov 10 2000,8:00p,San Antonio Spurs,77,Dallas Mavericks,79,Box Score,,17296,
Fri Nov 10 2000,9:00p,Miami Heat,87,Utah Jazz,80,Box Score,,19093,
Fri Nov 10 2000,10:30p,Sacramento Kings,114,Golden State Warriors,107,Box Score,OT,17467,
Fri Nov 10 2000,10:30p,Atlanta Hawks,106,Los Angeles Clippers,115,Box Score,,10396,
Sat Nov 11 2000,1:00p,Seattle SuperSonics,91,New Jersey Nets,126,Box Score,,14443,
Sat Nov 11 2000,7:00p,Detroit Pistons,84,Indiana Pacers,94,Box Score,,18345,
Sat Nov 11 2000,7:30p,Washington Wizards,73,Cleveland Cavaliers,86,Box Score,,17336,
Sat Nov 11 2000,7:30p,Charlotte Hornets,67,New York Knicks,81,Box Score,,19763,
Sat Nov 11 2000,8:00p,Boston Celtics,83,Philadelphia 76ers,85,Box Score,,19258,
Sat Nov 11 2000,8:30p,Toronto Raptors,98,Chicago Bulls,75,Box Score,,22387,
Sat Nov 11 2000,8:30p,Minnesota Timberwolves,103,Milwaukee Bucks,92,Box Score,,18717,
Sat Nov 11 2000,8:30p,Vancouver Grizzlies,78,San Antonio Spurs,91,Box Score,,18556,
Sat Nov 11 2000,9:00p,Miami Heat,82,Phoenix Suns,84,Box Score,,18120,
Sat Nov 11 2000,10:00p,Houston Rockets,88,Portland Trail Blazers,111,Box Score,,19992,
Sun Nov 12 2000,6:00p,Seattle SuperSonics,92,Detroit Pistons,101,Box Score,,14289,
Sun Nov 12 2000,9:00p,Los Angeles Clippers,79,Denver Nuggets,95,Box Score,,10842,
Sun Nov 12 2000,9:00p,Orlando Magic,105,Golden State Warriors,99,Box Score,OT,13626,
Sun Nov 12 2000,9:00p,Dallas Mavericks,84,Sacramento Kings,109,Box Score,,17317,
Sun Nov 12 2000,9:30p,Houston Rockets,99,Los Angeles Lakers,105,Box Score,,18997,
Mon Nov 13 2000,7:30p,Portland Trail Blazers,94,New Jersey Nets,82,Box Score,,10704,
Mon Nov 13 2000,10:30p,Dallas Mavericks,90,Los Angeles Clippers,76,Box Score,,9340,
Tue Nov 14 2000,7:30p,Portland Trail Blazers,97,Atlanta Hawks,99,Box Score,,12610,
Tue Nov 14 2000,7:30p,Golden State Warriors,86,Cleveland Cavaliers,96,Box Score,,13691,
Tue Nov 14 2000,7:30p,Charlotte Hornets,86,Miami Heat,89,Box Score,OT,14983,
Tue Nov 14 2000,8:00p,Orlando Magic,82,Sacramento Kings,96,Box Score,,17317,
Tue Nov 14 2000,8:30p,Chicago Bulls,83,Houston Rockets,110,Box Score,,11724,
Tue Nov 14 2000,8:30p,Utah Jazz,79,San Antonio Spurs,86,Box Score,,18053,
Tue Nov 14 2000,10:30p,Denver Nuggets,103,Los Angeles Lakers,119,Box Score,,18997,
Tue Nov 14 2000,10:30p,New York Knicks,75,Seattle SuperSonics,96,Box Score,,17072,
Wed Nov 15 2000,7:00p,Washington Wizards,109,Boston Celtics,116,Box Score,,13915,
Wed Nov 15 2000,7:00p,Cleveland Cavaliers,98,Philadelphia 76ers,107,Box Score,,16328,
Wed Nov 15 2000,7:30p,Indiana Pacers,92,Detroit Pistons,88,Box Score,,14350,
Wed Nov 15 2000,8:00p,Atlanta Hawks,74,Milwaukee Bucks,84,Box Score,,13217,
Wed Nov 15 2000,8:00p,Golden State Warriors,90,Minnesota Timberwolves,92,Box Score,,16034,
Wed Nov 15 2000,8:00p,Miami Heat,91,New Jersey Nets,93,Box Score,,13504,
Wed Nov 15 2000,9:00p,Dallas Mavericks,78,Phoenix Suns,99,Box Score,,16652,
Wed Nov 15 2000,10:30p,New York Knicks,74,Los Angeles Clippers,78,Box Score,,12516,
Thu Nov 16 2000,7:00p,Portland Trail Blazers,86,Toronto Raptors,80,Box Score,,19800,
Thu Nov 16 2000,7:00p,San Antonio Spurs,99,Washington Wizards,95,Box Score,,19832,
Thu Nov 16 2000,8:00p,Los Angeles Lakers,112,Sacramento Kings,110,Box Score,OT,17317,
Thu Nov 16 2000,8:30p,Charlotte Hornets,80,Houston Rockets,84,Box Score,,11028,
Thu Nov 16 2000,9:00p,Chicago Bulls,85,Denver Nuggets,89,Box Score,,10150,
Thu Nov 16 2000,9:00p,Orlando Magic,84,Utah Jazz,99,Box Score,,18851,
Thu Nov 16 2000,10:00p,Los Angeles Clippers,76,Vancouver Grizzlies,72,Box Score,,12210,
Fri Nov 17 2000,7:00p,Golden State Warriors,92,Indiana Pacers,90,Box Score,,17101,
Fri Nov 17 2000,7:00p,Miami Heat,73,Philadelphia 76ers,94,Box Score,,20720,
Fri Nov 17 2000,7:30p,Atlanta Hawks,99,Boston Celtics,106,Box Score,,13815,
Fri Nov 17 2000,7:30p,Detroit Pistons,96,Charlotte Hornets,89,Box Score,,14771,
Fri Nov 17 2000,8:00p,San Antonio Spurs,94,Minnesota Timberwolves,99,Box Score,OT,17288,
Fri Nov 17 2000,8:30p,Cleveland Cavaliers,76,Milwaukee Bucks,89,Box Score,,13874,
Fri Nov 17 2000,9:00p,New York Knicks,90,Phoenix Suns,85,Box Score,,18738,
Fri Nov 17 2000,10:00p,Dallas Mavericks,99,Seattle SuperSonics,95,Box Score,,12285,
Sat Nov 18 2000,7:00p,Milwaukee Bucks,102,Toronto Raptors,111,Box Score,,19800,
Sat Nov 18 2000,7:00p,Boston Celtics,89,Washington Wizards,109,Box Score,,19290,
Sat Nov 18 2000,7:30p,Minnesota Timberwolves,94,Atlanta Hawks,84,Box Score,,13036,
Sat Nov 18 2000,7:30p,Portland Trail Blazers,80,Miami Heat,86,Box Score,,16500,
Sat Nov 18 2000,8:00p,Indiana Pacers,92,New Jersey Nets,97,Box Score,,12465,
Sat Nov 18 2000,8:30p,Phoenix Suns,89,Houston Rockets,94,Box Score,,12694,
Sat Nov 18 2000,9:00p,Los Angeles Lakers,86,Denver Nuggets,87,Box Score,,19513,
Sat Nov 18 2000,9:00p,Chicago Bulls,64,Utah Jazz,109,Box Score,,17839,
Sat Nov 18 2000,10:00p,Dallas Mavericks,91,Vancouver Grizzlies,88,Box Score,,13301,
Sat Nov 18 2000,10:30p,Seattle SuperSonics,86,Los Angeles Clippers,83,Box Score,,12271,
Sun Nov 19 2000,6:00p,Portland Trail Blazers,110,Orlando Magic,102,Box Score,OT,14524,
Sun Nov 19 2000,7:00p,Charlotte Hornets,105,Detroit Pistons,96,Box Score,,13088,
Sun Nov 19 2000,8:00p,Golden State Warriors,71,New York Knicks,88,Box Score,,19763,
Sun Nov 19 2000,9:30p,Chicago Bulls,96,Los Angeles Lakers,104,Box Score,,18997,
Mon Nov 20 2000,7:00p,Philadelphia 76ers,114,Boston Celtics,90,Box Score,,15209,
Mon Nov 20 2000,7:00p,Charlotte Hornets,100,Toronto Raptors,64,Box Score,,17767,
Mon Nov 20 2000,9:00p,Dallas Mavericks,107,Utah Jazz,98,Box Score,,18869,
Mon Nov 20 2000,10:00p,Denver Nuggets,95,Vancouver Grizzlies,92,Box Score,,11809,
Mon Nov 20 2000,10:30p,New Jersey Nets,86,Los Angeles Clippers,85,Box Score,,9803,
Tue Nov 21 2000,7:00p,Houston Rockets,101,Indiana Pacers,89,Box Score,,16611,
Tue Nov 21 2000,7:00p,Portland Trail Blazers,104,Washington Wizards,94,Box Score,,14113,
Tue Nov 21 2000,7:30p,Detroit Pistons,98,Cleveland Cavaliers,117,Box Score,,12683,
Tue Nov 21 2000,8:00p,Seattle SuperSonics,116,Dallas Mavericks,110,Box Score,,15100,
Tue Nov 21 2000,8:00p,New York Knicks,85,Orlando Magic,84,Box Score,,14673,
Tue Nov 21 2000,10:30p,Chicago Bulls,77,Golden State Warriors,89,Box Score,,11263,
Wed Nov 22 2000,7:00p,Houston Rockets,81,Boston Celtics,96,Box Score,,13003,
Wed Nov 22 2000,7:30p,New York Knicks,74,Atlanta Hawks,78,Box Score,,12007,
Wed Nov 22 2000,7:30p,Philadelphia 76ers,73,Charlotte Hornets,88,Box Score,,15306,
Wed Nov 22 2000,7:30p,Cleveland Cavaliers,86,Miami Heat,67,Box Score,,14755,
Wed Nov 22 2000,8:00p,Portland Trail Blazers,93,Milwaukee Bucks,84,Box Score,,15008,
Wed Nov 22 2000,8:00p,Vancouver Grizzlies,100,Minnesota Timberwolves,101,Box Score,,16783,
Wed Nov 22 2000,8:30p,Seattle SuperSonics,85,San Antonio Spurs,112,Box Score,,22828,
Wed Nov 22 2000,9:00p,New Jersey Nets,85,Phoenix Suns,97,Box Score,,17239,
Wed Nov 22 2000,9:00p,Denver Nuggets,78,Utah Jazz,116,Box Score,,18664,
Wed Nov 22 2000,10:30p,Golden State Warriors,91,Los Angeles Lakers,111,Box Score,,18208,
Wed Nov 22 2000,10:30p,Chicago Bulls,71,Sacramento Kings,100,Box Score,,17317,
Thu Nov 23 2000,8:00p,Toronto Raptors,111,Indiana Pacers,91,Box Score,,18345,
Fri Nov 24 2000,7:30p,Philadelphia 76ers,76,Atlanta Hawks,67,Box Score,,17601,
Fri Nov 24 2000,7:30p,Orlando Magic,98,Boston Celtics,103,Box Score,OT,16696,
Fri Nov 24 2000,7:30p,Miami Heat,80,Cleveland Cavaliers,85,Box Score,,20562,
Fri Nov 24 2000,8:00p,Vancouver Grizzlies,96,Detroit Pistons,118,Box Score,,14709,
Fri Nov 24 2000,8:00p,Washington Wizards,87,Indiana Pacers,99,Box Score,,18345,
Fri Nov 24 2000,8:30p,Charlotte Hornets,106,Milwaukee Bucks,90,Box Score,,15102,
Fri Nov 24 2000,9:00p,San Antonio Spurs,92,Denver Nuggets,102,Box Score,,13300,
Fri Nov 24 2000,9:00p,Golden State Warriors,74,Phoenix Suns,80,Box Score,,18684,
Fri Nov 24 2000,10:00p,Los Angeles Clippers,81,Seattle SuperSonics,98,Box Score,,13282,
Fri Nov 24 2000,10:00p,New Jersey Nets,85,Utah Jazz,97,Box Score,,18915,
Fri Nov 24 2000,10:30p,Minnesota Timberwolves,108,Los Angeles Lakers,115,Box Score,,18997,
Sat Nov 25 2000,1:00p,Toronto Raptors,79,New York Knicks,75,Box Score,,19763,
Sat Nov 25 2000,7:30p,Cleveland Cavaliers,98,Charlotte Hornets,109,Box Score,,13791,
Sat Nov 25 2000,7:30p,Houston Rockets,91,Miami Heat,80,Box Score,,15721,
Sat Nov 25 2000,7:30p,Atlanta Hawks,92,Orlando Magic,114,Box Score,,13043,
Sat Nov 25 2000,8:00p,Denver Nuggets,84,Dallas Mavericks,108,Box Score,,16234,
Sat Nov 25 2000,8:00p,Milwaukee Bucks,100,Washington Wizards,107,Box Score,,13157,
Sat Nov 25 2000,8:30p,Philadelphia 76ers,76,San Antonio Spurs,96,Box Score,,33046,
Sat Nov 25 2000,10:00p,New Jersey Nets,84,Portland Trail Blazers,86,Box Score,,20478,
Sat Nov 25 2000,10:30p,Minnesota Timberwolves,93,Golden State Warriors,114,Box Score,,14268,
Sat Nov 25 2000,10:30p,Phoenix Suns,95,Los Angeles Clippers,89,Box Score,OT,13510,
Sat Nov 25 2000,10:30p,Seattle SuperSonics,101,Sacramento Kings,125,Box Score,,17317,
Sun Nov 26 2000,12:30p,Vancouver Grizzlies,98,Boston Celtics,87,Box Score,,11551,
Sun Nov 26 2000,3:00p,Chicago Bulls,89,Toronto Raptors,101,Box Score,,19800,
Sun Nov 26 2000,7:00p,Utah Jazz,94,Detroit Pistons,79,Box Score,,12943,
Mon Nov 27 2000,7:30p,Vancouver Grizzlies,72,New York Knicks,97,Box Score,,19763,
Mon Nov 27 2000,7:30p,Milwaukee Bucks,104,Orlando Magic,95,Box Score,,12841,
Mon Nov 27 2000,10:30p,Los Angeles Lakers,98,Los Angeles Clippers,83,Box Score,,20039,
Tue Nov 28 2000,7:00p,Atlanta Hawks,102,Washington Wizards,75,Box Score,,11583,
Tue Nov 28 2000,7:30p,Boston Celtics,87,Cleveland Cavaliers,72,Box Score,,14879,
Tue Nov 28 2000,7:30p,Milwaukee Bucks,102,Miami Heat,101,Box Score,,14863,
Tue Nov 28 2000,7:30p,Utah Jazz,98,New Jersey Nets,92,Box Score,,12204,
Tue Nov 28 2000,8:00p,Toronto Raptors,93,Dallas Mavericks,107,Box Score,,16016,
Tue Nov 28 2000,8:30p,Minnesota Timberwolves,96,Chicago Bulls,76,Box Score,,22204,
Tue Nov 28 2000,8:30p,Sacramento Kings,88,Houston Rockets,81,Box Score,,11813,
Tue Nov 28 2000,10:00p,Seattle SuperSonics,105,Portland Trail Blazers,93,Box Score,,19980,
Tue Nov 28 2000,10:30p,Indiana Pacers,107,Los Angeles Lakers,124,Box Score,,18997,
Wed Nov 29 2000,7:00p,Washington Wizards,87,Philadelphia 76ers,93,Box Score,,16263,
Wed Nov 29 2000,7:30p,Toronto Raptors,79,Charlotte Hornets,103,Box Score,,12255,
Wed Nov 29 2000,7:30p,New Jersey Nets,76,Detroit Pistons,97,Box Score,,11497,
Wed Nov 29 2000,7:30p,Utah Jazz,88,Orlando Magic,86,Box Score,,13645,
Wed Nov 29 2000,8:00p,Denver Nuggets,107,Minnesota Timberwolves,100,Box Score,,15227,
Wed Nov 29 2000,8:00p,Miami Heat,84,New York Knicks,81,Box Score,,19763,
Wed Nov 29 2000,8:30p,Sacramento Kings,79,San Antonio Spurs,82,Box Score,,17341,
Wed Nov 29 2000,10:00p,Phoenix Suns,106,Vancouver Grizzlies,109,Box Score,2OT,12314,
Wed Nov 29 2000,10:30p,Golden State Warriors,83,Los Angeles Clippers,106,Box Score,,10130,
Thu Nov 30 2000,7:30p,Chicago Bulls,91,Atlanta Hawks,82,Box Score,,10956,
Thu Nov 30 2000,8:00p,Boston Celtics,97,Milwaukee Bucks,108,Box Score,,13247,
Thu Nov 30 2000,9:00p,Houston Rockets,109,Denver Nuggets,105,Box Score,OT,13684,
Thu Nov 30 2000,10:00p,Dallas Mavericks,84,Portland Trail Blazers,95,Box Score,,19980,
Thu Nov 30 2000,10:00p,Los Angeles Lakers,88,Seattle SuperSonics,121,Box Score,,17072,
Thu Nov 30 2000,10:30p,Indiana Pacers,95,Golden State Warriors,99,Box Score,,13149,
Fri Dec 1 2000,7:00p,Charlotte Hornets,74,Philadelphia 76ers,95,Box Score,,18377,
Fri Dec 1 2000,7:00p,Los Angeles Clippers,95,Toronto Raptors,104,Box Score,OT,18470,
Fri Dec 1 2000,7:30p,Minnesota Timberwolves,102,Boston Celtics,98,Box Score,,14630,
Fri Dec 1 2000,7:30p,Utah Jazz,94,Miami Heat,92,Box Score,,15632,
Fri Dec 1 2000,7:30p,New Jersey Nets,80,Orlando Magic,83,Box Score,,13827,
Fri Dec 1 2000,8:00p,Cleveland Cavaliers,93,Detroit Pistons,103,Box Score,,15323,
Fri Dec 1 2000,8:30p,New York Knicks,91,Chicago Bulls,86,Box Score,,22099,
Fri Dec 1 2000,10:00p,Indiana Pacers,86,Vancouver Grizzlies,76,Box Score,OT,11758,
Fri Dec 1 2000,10:30p,San Antonio Spurs,100,Los Angeles Lakers,109,Box Score,,18997,
Fri Dec 1 2000,10:30p,Phoenix Suns,98,Sacramento Kings,105,Box Score,,17317,
Sat Dec 2 2000,2:30p,Milwaukee Bucks,94,Atlanta Hawks,101,Box Score,,9827,
Sat Dec 2 2000,7:30p,Utah Jazz,89,Charlotte Hornets,94,Box Score,,13360,
Sat Dec 2 2000,7:30p,Philadelphia 76ers,112,Cleveland Cavaliers,78,Box Score,,20562,
Sat Dec 2 2000,7:30p,Orlando Magic,95,New Jersey Nets,74,Box Score,,14897,
Sat Dec 2 2000,7:30p,Minnesota Timberwolves,90,New York Knicks,100,Box Score,,19763,
Sat Dec 2 2000,8:00p,Miami Heat,93,Washington Wizards,90,Box Score,,20674,
Sat Dec 2 2000,8:30p,Portland Trail Blazers,96,Houston Rockets,85,Box Score,,12648,
Sat Dec 2 2000,9:00p,Seattle SuperSonics,92,Denver Nuggets,103,Box Score,,14234,
Sat Dec 2 2000,10:30p,Dallas Mavericks,97,Golden State Warriors,78,Box Score,,12187,
Sun Dec 3 2000,12:30p,Los Angeles Clippers,87,Boston Celtics,96,Box Score,,13583,
Sun Dec 3 2000,3:00p,Indiana Pacers,80,Milwaukee Bucks,92,Box Score,,15446,
Sun Dec 3 2000,3:30p,San Antonio Spurs,97,Vancouver Grizzlies,79,Box Score,,11655,
Sun Dec 3 2000,7:00p,Washington Wizards,87,Detroit Pistons,93,Box Score,,12137,
Sun Dec 3 2000,8:00p,Portland Trail Blazers,79,Phoenix Suns,84,Box Score,,17621,
Sun Dec 3 2000,9:00p,Golden State Warriors,102,Seattle SuperSonics,118,Box Score,,11669,
Sun Dec 3 2000,9:30p,Dallas Mavericks,97,Los Angeles Lakers,99,Box Score,,18997,
Mon Dec 4 2000,7:30p,Los Angeles Clippers,78,New York Knicks,106,Box Score,,19763,
Mon Dec 4 2000,9:00p,Philadelphia 76ers,98,Denver Nuggets,105,Box Score,,15129,
Tue Dec 5 2000,7:00p,New Jersey Nets,64,Indiana Pacers,88,Box Score,,16731,
Tue Dec 5 2000,7:30p,Miami Heat,100,Atlanta Hawks,92,Box Score,,10691,
Tue Dec 5 2000,7:30p,Charlotte Hornets,66,Cleveland Cavaliers,71,Box Score,,14544,
Tue Dec 5 2000,7:30p,Boston Celtics,98,Orlando Magic,101,Box Score,,13324,
Tue Dec 5 2000,8:00p,Chicago Bulls,90,Minnesota Timberwolves,100,Box Score,,16170,
Tue Dec 5 2000,8:00p,San Antonio Spurs,75,Sacramento Kings,81,Box Score,,17317,
Tue Dec 5 2000,8:30p,Dallas Mavericks,102,Houston Rockets,109,Box Score,,11426,
Tue Dec 5 2000,9:00p,Toronto Raptors,84,Utah Jazz,98,Box Score,,19288,
Tue Dec 5 2000,10:00p,Detroit Pistons,83,Vancouver Grizzlies,91,Box Score,,12578,
Tue Dec 5 2000,10:30p,Philadelphia 76ers,85,Los Angeles Lakers,96,Box Score,,18997,
Wed Dec 6 2000,7:00p,Los Angeles Clippers,93,Washington Wizards,88,Box Score,,11602,
Wed Dec 6 2000,7:30p,Indiana Pacers,88,Charlotte Hornets,91,Box Score,,11877,
Wed Dec 6 2000,7:30p,Denver Nuggets,78,Miami Heat,95,Box Score,,14463,
Wed Dec 6 2000,7:30p,Milwaukee Bucks,109,New Jersey Nets,87,Box Score,,11420,
Wed Dec 6 2000,8:00p,Cleveland Cavaliers,92,Chicago Bulls,88,Box Score,,21395,
Wed Dec 6 2000,8:00p,New York Knicks,85,Dallas Mavericks,94,Box Score,,14551,
Wed Dec 6 2000,10:00p,Toronto Raptors,88,Portland Trail Blazers,95,Box Score,,19980,
Wed Dec 6 2000,10:00p,Detroit Pistons,112,Seattle SuperSonics,99,Box Score,,14795,
Wed Dec 6 2000,10:30p,Los Angeles Lakers,122,Golden State Warriors,125,Box Score,OT,19273,
Thu Dec 7 2000,7:30p,Denver Nuggets,93,Orlando Magic,103,Box Score,,13123,
Thu Dec 7 2000,8:00p,Phoenix Suns,104,Milwaukee Bucks,96,Box Score,,14236,
Thu Dec 7 2000,8:00p,Washington Wizards,88,Minnesota Timberwolves,105,Box Score,,16018,
Thu Dec 7 2000,8:00p,New York Knicks,86,San Antonio Spurs,83,Box Score,,18370,
Thu Dec 7 2000,9:00p,Vancouver Grizzlies,87,Utah Jazz,98,Box Score,,17958,
Fri Dec 8 2000,7:30p,Indiana Pacers,104,Boston Celtics,91,Box Score,,14834,
Fri Dec 8 2000,7:30p,Los Angeles Clippers,87,Charlotte Hornets,92,Box Score,,12086,
