Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Oct 31 2000,7:30p,Charlotte Hornets,106,Atlanta Hawks,82,Box Score,,18465,
Tue Oct 31 2000,7:30p,Cleveland Cavaliers,86,New Jersey Nets,82,Box Score,,14505,
Tue Oct 31 2000,7:30p,Washington Wizards,86,Orlando Magic,97,Box Score,,13349,
Tue Oct 31 2000,8:00p,Milwaukee Bucks,93,Dallas Mavericks,97,Box Score,,16600,
Tue Oct 31 2000,8:00p,Philadelphia 76ers,101,New York Knicks,72,Box Score,,19763,
Tue Oct 31 2000,8:00p,Detroit Pistons,104,Toronto Raptors,95,Box Score,,19800,
Tue Oct 31 2000,8:30p,Sacramento Kings,100,Chicago Bulls,81,Box Score,,21814,
Tue Oct 31 2000,8:30p,Minnesota Timberwolves,106,Houston Rockets,98,Box Score,,11327,
Tue Oct 31 2000,8:30p,Indiana Pacers,85,San Antonio Spurs,98,Box Score,,17450,
Tue Oct 31 2000,9:00p,Los Angeles Clippers,94,Utah Jazz,107,Box Score,,17824,
Tue Oct 31 2000,10:30p,Phoenix Suns,94,Golden State Warriors,96,Box Score,,15460,
Tue Oct 31 2000,10:30p,Los Angeles Lakers,96,Portland Trail Blazers,86,Box Score,,20270,
Tue Oct 31 2000,10:30p,Seattle SuperSonics,88,Vancouver Grizzlies,94,Box Score,,15779,
Wed Nov 1 2000,7:00p,Detroit Pistons,83,Boston Celtics,103,Box Score,,17725,
Wed Nov 1 2000,7:00p,Toronto Raptors,98,Philadelphia 76ers,104,Box Score,,19817,
Wed Nov 1 2000,7:30p,Washington Wizards,95,Charlotte Hornets,77,Box Score,,16043,
Wed Nov 1 2000,7:30p,Sacramento Kings,100,Cleveland Cavaliers,102,Box Score,2OT,17695,
Wed Nov 1 2000,8:00p,Orlando Magic,79,Miami Heat,105,Box Score,,16500,
Wed Nov 1 2000,10:00p,Denver Nuggets,99,Seattle SuperSonics,112,Box Score,,17072,
Wed Nov 1 2000,10:30p,Utah Jazz,97,Los Angeles Lakers,92,Box Score,,18997,
Thu Nov 2 2000,7:30p,Atlanta Hawks,69,New York Knicks,94,Box Score,,19763,
Thu Nov 2 2000,8:00p,Indiana Pacers,88,Dallas Mavericks,94,Box Score,,11750,
Thu Nov 2 2000,8:00p,Minnesota Timberwolves,91,San Antonio Spurs,103,Box Score,,14193,
Thu Nov 2 2000,8:30p,Milwaukee Bucks,93,Houston Rockets,115,Box Score,,10687,
Thu Nov 2 2000,9:00p,Golden State Warriors,97,Denver Nuggets,101,Box Score,,15790,
Thu Nov 2 2000,9:00p,Portland Trail Blazers,82,Phoenix Suns,108,Box Score,,18436,
Thu Nov 2 2000,10:30p,Vancouver Grizzlies,99,Los Angeles Clippers,91,Box Score,,15546,
Fri Nov 3 2000,7:00p,New York Knicks,80,Washington Wizards,76,Box Score,,20674,
Fri Nov 3 2000,7:30p,Toronto Raptors,91,Boston Celtics,93,Box Score,,17464,
Fri Nov 3 2000,7:30p,Miami Heat,79,Charlotte Hornets,83,Box Score,,14016,
Fri Nov 3 2000,7:30p,Philadelphia 76ers,87,Orlando Magic,80,Box Score,,14233,
Fri Nov 3 2000,8:00p,Sacramento Kings,100,Detroit Pistons,93,Box Score,,22076,
Fri Nov 3 2000,8:30p,New Jersey Nets,92,Chicago Bulls,82,Box Score,,21908,
Sat Nov 4 2000,3:30p,Los Angeles Lakers,98,Vancouver Grizzlies,89,Box Score,,18183,
Sat Nov 4 2000,7:00p,Chicago Bulls,81,Indiana Pacers,94,Box Score,,18345,
Sat Nov 4 2000,7:00p,Washington Wizards,96,Toronto Raptors,103,Box Score,,18726,
Sat Nov 4 2000,7:30p,Orlando Magic,107,Atlanta Hawks,104,Box Score,,13833,
Sat Nov 4 2000,7:30p,Boston Celtics,89,Cleveland Cavaliers,91,Box Score,,18392,
Sat Nov 4 2000,7:30p,Philadelphia 76ers,84,Miami Heat,82,Box Score,,16029,
Sat Nov 4 2000,8:00p,Utah Jazz,112,Dallas Mavericks,106,Box Score,,16500,
Sat Nov 4 2000,8:00p,Sacramento Kings,91,Minnesota Timberwolves,99,Box Score,,19006,
Sat Nov 4 2000,8:00p,Charlotte Hornets,98,New Jersey Nets,87,Box Score,,11522,
Sat Nov 4 2000,8:30p,Detroit Pistons,88,Milwaukee Bucks,97,Box Score,,18717,
