Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Dec 14 1999,Indiana Pacers,97,Toronto Raptors,105,Box Score,,15774,
Tue Dec 14 1999,Utah Jazz,101,Washington Wizards,80,Box Score,,13921,
Wed Dec 15 1999,Utah Jazz,96,Boston Celtics,86,Box Score,,15249,
Wed Dec 15 1999,Minnesota Timberwolves,98,Charlotte Hornets,103,Box Score,,16303,
Wed Dec 15 1999,Chicago Bulls,91,Indiana Pacers,102,Box Score,,18345,
Wed Dec 15 1999,Cleveland Cavaliers,101,New Jersey Nets,111,Box Score,,12767,
Wed Dec 15 1999,Milwaukee Bucks,116,Orlando Magic,99,Box Score,,12308,
Wed Dec 15 1999,Toronto Raptors,91,Philadelphia 76ers,93,Box Score,,15421,
Wed Dec 15 1999,Houston Rockets,77,San Antonio Spurs,83,Box Score,,23837,
Wed Dec 15 1999,Sacramento Kings,109,Vancouver Grizzlies,106,Box Score,,12490,
Thu Dec 16 1999,Los Angeles Lakers,95,Atlanta Hawks,88,Box Score,,19463,
Thu Dec 16 1999,New York Knicks,100,Dallas Mavericks,93,Box Score,,13796,
Thu Dec 16 1999,Sacramento Kings,106,Denver Nuggets,116,Box Score,,15576,
Thu Dec 16 1999,Detroit Pistons,116,Golden State Warriors,108,Box Score,,10249,
Thu Dec 16 1999,Milwaukee Bucks,96,Miami Heat,95,Box Score,,14503,
Thu Dec 16 1999,Portland Trail Blazers,107,Seattle SuperSonics,81,Box Score,,17072,
Thu Dec 16 1999,New Jersey Nets,104,Washington Wizards,108,Box Score,,11355,
Fri Dec 17 1999,Cleveland Cavaliers,86,Charlotte Hornets,99,Box Score,,16586,
Fri Dec 17 1999,Utah Jazz,74,Indiana Pacers,89,Box Score,,18345,
Fri Dec 17 1999,Golden State Warriors,91,Los Angeles Clippers,92,Box Score,,11217,
Fri Dec 17 1999,Los Angeles Lakers,97,Minnesota Timberwolves,88,Box Score,,19354,
Fri Dec 17 1999,Toronto Raptors,98,Orlando Magic,112,Box Score,,13481,
Fri Dec 17 1999,Chicago Bulls,74,Philadelphia 76ers,77,Box Score,,14801,
Fri Dec 17 1999,Phoenix Suns,110,Portland Trail Blazers,102,Box Score,,20584,
Fri Dec 17 1999,Boston Celtics,94,San Antonio Spurs,103,Box Score,,17264,
Sat Dec 18 1999,Utah Jazz,106,Atlanta Hawks,96,Box Score,,17368,
Sat Dec 18 1999,Orlando Magic,83,Chicago Bulls,74,Box Score,,22083,
Sat Dec 18 1999,New Jersey Nets,98,Cleveland Cavaliers,74,Box Score,,13225,
Sat Dec 18 1999,Minnesota Timberwolves,108,Dallas Mavericks,104,Box Score,,13702,
Sat Dec 18 1999,San Antonio Spurs,84,Denver Nuggets,86,Box Score,,17318,
Sat Dec 18 1999,Philadelphia 76ers,91,Detroit Pistons,104,Box Score,,16792,
Sat Dec 18 1999,Boston Celtics,94,Houston Rockets,100,Box Score,,15032,
Sat Dec 18 1999,Charlotte Hornets,106,Miami Heat,89,Box Score,,14621,
Sat Dec 18 1999,Indiana Pacers,95,Milwaukee Bucks,109,Box Score,,15236,
Sat Dec 18 1999,Washington Wizards,95,New York Knicks,83,Box Score,,19763,
Sat Dec 18 1999,Sacramento Kings,103,Phoenix Suns,119,Box Score,,19023,
Sat Dec 18 1999,Vancouver Grizzlies,89,Seattle SuperSonics,112,Box Score,,14094,
Sun Dec 19 1999,Atlanta Hawks,88,New Jersey Nets,96,Box Score,,11990,
Sun Dec 19 1999,Los Angeles Lakers,94,Toronto Raptors,88,Box Score,,19800,
Sun Dec 19 1999,Los Angeles Clippers,84,Vancouver Grizzlies,85,Box Score,,12584,
Mon Dec 20 1999,Los Angeles Lakers,99,Boston Celtics,90,Box Score,,18624,
Mon Dec 20 1999,Seattle SuperSonics,93,Chicago Bulls,84,Box Score,,22106,
Mon Dec 20 1999,Minnesota Timberwolves,100,Cleveland Cavaliers,94,Box Score,,13911,
Mon Dec 20 1999,Miami Heat,92,Dallas Mavericks,89,Box Score,,14049,
Mon Dec 20 1999,Portland Trail Blazers,88,Denver Nuggets,97,Box Score,,15708,
Mon Dec 20 1999,Sacramento Kings,99,Golden State Warriors,111,Box Score,,15176,
Mon Dec 20 1999,Charlotte Hornets,109,New York Knicks,112,Box Score,OT,19763,
Mon Dec 20 1999,Utah Jazz,102,Orlando Magic,104,Box Score,,13985,
Mon Dec 20 1999,Detroit Pistons,121,Philadelphia 76ers,122,Box Score,OT,16520,
Mon Dec 20 1999,Milwaukee Bucks,101,Phoenix Suns,108,Box Score,,18656,
Tue Dec 21 1999,Washington Wizards,97,Detroit Pistons,83,Box Score,,14181,
Tue Dec 21 1999,Portland Trail Blazers,89,Houston Rockets,79,Box Score,,16285,
Tue Dec 21 1999,Seattle SuperSonics,103,Indiana Pacers,113,Box Score,,18345,
Tue Dec 21 1999,Milwaukee Bucks,95,Sacramento Kings,108,Box Score,,17317,
Tue Dec 21 1999,Phoenix Suns,90,San Antonio Spurs,91,Box Score,OT,23480,
Tue Dec 21 1999,New Jersey Nets,87,Toronto Raptors,116,Box Score,,18677,
Wed Dec 22 1999,Atlanta Hawks,81,Boston Celtics,98,Box Score,,15973,
Wed Dec 22 1999,Minnesota Timberwolves,106,Chicago Bulls,86,Box Score,,22102,
Wed Dec 22 1999,Orlando Magic,103,Cleveland Cavaliers,97,Box Score,,11731,
Wed Dec 22 1999,Los Angeles Clippers,103,Golden State Warriors,99,Box Score,,10438,
Wed Dec 22 1999,Utah Jazz,72,Miami Heat,74,Box Score,,15200,
Wed Dec 22 1999,Toronto Raptors,90,New York Knicks,91,Box Score,,19763,
Thu Dec 23 1999,Cleveland Cavaliers,90,Atlanta Hawks,108,Box Score,,12528,
Thu Dec 23 1999,Orlando Magic,110,Charlotte Hornets,106,Box Score,,16918,
Thu Dec 23 1999,Washington Wizards,89,Houston Rockets,105,Box Score,,14841,
Thu Dec 23 1999,Sacramento Kings,91,Los Angeles Clippers,97,Box Score,,14315,
Thu Dec 23 1999,Seattle SuperSonics,102,Minnesota Timberwolves,109,Box Score,,16773,
Thu Dec 23 1999,Philadelphia 76ers,94,New Jersey Nets,99,Box Score,,17617,
Thu Dec 23 1999,Dallas Mavericks,111,Phoenix Suns,110,Box Score,,19023,
Thu Dec 23 1999,Golden State Warriors,91,Portland Trail Blazers,111,Box Score,,20440,
Thu Dec 23 1999,Milwaukee Bucks,94,San Antonio Spurs,91,Box Score,,22581,
Thu Dec 23 1999,Denver Nuggets,91,Vancouver Grizzlies,93,Box Score,,11792,
Sat Dec 25 1999,New York Knicks,90,Indiana Pacers,101,Box Score,,18345,
Sat Dec 25 1999,San Antonio Spurs,93,Los Angeles Lakers,99,Box Score,,18997,
Sun Dec 26 1999,Toronto Raptors,98,Cleveland Cavaliers,95,Box Score,,14135,
Sun Dec 26 1999,Vancouver Grizzlies,86,Denver Nuggets,109,Box Score,,17074,
Sun Dec 26 1999,Charlotte Hornets,96,Detroit Pistons,114,Box Score,,15339,
Sun Dec 26 1999,Boston Celtics,100,Los Angeles Clippers,103,Box Score,,12039,
Sun Dec 26 1999,Miami Heat,85,Milwaukee Bucks,93,Box Score,,15075,
Sun Dec 26 1999,Chicago Bulls,76,New Jersey Nets,103,Box Score,,17063,
Sun Dec 26 1999,Golden State Warriors,88,Phoenix Suns,108,Box Score,,19023,
Sun Dec 26 1999,Dallas Mavericks,111,Sacramento Kings,118,Box Score,,17317,
Sun Dec 26 1999,Philadelphia 76ers,92,Seattle SuperSonics,86,Box Score,,15562,
Sun Dec 26 1999,Houston Rockets,92,Washington Wizards,103,Box Score,,14191,
Mon Dec 27 1999,Atlanta Hawks,104,Charlotte Hornets,108,Box Score,,17114,
Mon Dec 27 1999,Indiana Pacers,103,Chicago Bulls,91,Box Score,,22169,
Mon Dec 27 1999,San Antonio Spurs,105,Golden State Warriors,83,Box Score,,12447,
Mon Dec 27 1999,Dallas Mavericks,106,Los Angeles Lakers,108,Box Score,,18997,
Mon Dec 27 1999,Minnesota Timberwolves,107,Orlando Magic,105,Box Score,,14703,
Mon Dec 27 1999,Phoenix Suns,91,Utah Jazz,92,Box Score,,19911,
Mon Dec 27 1999,Philadelphia 76ers,100,Vancouver Grizzlies,93,Box Score,,13269,
Tue Dec 28 1999,Los Angeles Clippers,105,Denver Nuggets,128,Box Score,,14035,
Tue Dec 28 1999,Toronto Raptors,100,Houston Rockets,99,Box Score,,16285,
Tue Dec 28 1999,Minnesota Timberwolves,78,Miami Heat,89,Box Score,,15200,
Tue Dec 28 1999,New York Knicks,83,New Jersey Nets,89,Box Score,,20049,
Tue Dec 28 1999,Seattle SuperSonics,89,Portland Trail Blazers,94,Box Score,,20584,
Tue Dec 28 1999,Boston Celtics,101,Sacramento Kings,114,Box Score,,17317,
Wed Dec 29 1999,Indiana Pacers,116,Atlanta Hawks,89,Box Score,,16117,
Wed Dec 29 1999,Milwaukee Bucks,105,Charlotte Hornets,109,Box Score,,17134,
Wed Dec 29 1999,Detroit Pistons,91,Chicago Bulls,77,Box Score,,22363,
Wed Dec 29 1999,Washington Wizards,94,Cleveland Cavaliers,96,Box Score,,15714,
Wed Dec 29 1999,Philadelphia 76ers,97,Golden State Warriors,94,Box Score,,15346,
Wed Dec 29 1999,Phoenix Suns,87,Los Angeles Lakers,103,Box Score,,18997,
Wed Dec 29 1999,Miami Heat,109,Orlando Magic,106,Box Score,,15645,
Wed Dec 29 1999,Sacramento Kings,113,Seattle SuperSonics,104,Box Score,,17072,
Wed Dec 29 1999,Vancouver Grizzlies,90,Utah Jazz,101,Box Score,,19911,
Thu Dec 30 1999,Toronto Raptors,109,Dallas Mavericks,104,Box Score,,16490,
Thu Dec 30 1999,Boston Celtics,102,Denver Nuggets,94,Box Score,,18353,
Thu Dec 30 1999,Atlanta Hawks,105,Detroit Pistons,106,Box Score,OT,18891,
Thu Dec 30 1999,Los Angeles Clippers,100,Houston Rockets,122,Box Score,,15057,
Thu Dec 30 1999,Charlotte Hornets,99,Indiana Pacers,109,Box Score,,18345,
Thu Dec 30 1999,Cleveland Cavaliers,90,Milwaukee Bucks,91,Box Score,,16329,
Thu Dec 30 1999,Chicago Bulls,76,Minnesota Timberwolves,94,Box Score,,19623,
Thu Dec 30 1999,Orlando Magic,92,New Jersey Nets,102,Box Score,,18694,
Thu Dec 30 1999,Philadelphia 76ers,90,Portland Trail Blazers,108,Box Score,,20584,
Thu Dec 30 1999,San Antonio Spurs,98,Vancouver Grizzlies,88,Box Score,,14403,
Thu Dec 30 1999,New York Knicks,89,Washington Wizards,86,Box Score,,19053,
Sun Jan 2 2000,Orlando Magic,103,Miami Heat,111,Box Score,OT,19600,
Mon Jan 3 2000,Cleveland Cavaliers,98,Boston Celtics,105,Box Score,,14115,
Mon Jan 3 2000,Portland Trail Blazers,88,Chicago Bulls,63,Box Score,,22353,
Mon Jan 3 2000,Detroit Pistons,118,Orlando Magic,106,Box Score,,12568,
Mon Jan 3 2000,Milwaukee Bucks,120,Philadelphia 76ers,124,Box Score,OT,14886,
Mon Jan 3 2000,Denver Nuggets,89,Utah Jazz,109,Box Score,,19196,
Mon Jan 3 2000,Golden State Warriors,87,Washington Wizards,99,Box Score,,11107,
Tue Jan 4 2000,Sacramento Kings,111,Cleveland Cavaliers,107,Box Score,,14875,
Tue Jan 4 2000,Dallas Mavericks,96,Denver Nuggets,98,Box Score,,10549,
Tue Jan 4 2000,Seattle SuperSonics,103,Houston Rockets,96,Box Score,,14440,
Tue Jan 4 2000,New Jersey Nets,111,Indiana Pacers,116,Box Score,,18345,
Tue Jan 4 2000,Los Angeles Lakers,122,Los Angeles Clippers,98,Box Score,,20042,
Tue Jan 4 2000,Vancouver Grizzlies,91,Miami Heat,87,Box Score,,19035,
Tue Jan 4 2000,Atlanta Hawks,113,Milwaukee Bucks,116,Box Score,,12739,
Tue Jan 4 2000,San Antonio Spurs,88,Minnesota Timberwolves,91,Box Score,,15179,
Tue Jan 4 2000,Boston Celtics,88,New York Knicks,96,Box Score,,19763,
Tue Jan 4 2000,Charlotte Hornets,80,Phoenix Suns,86,Box Score,,18640,
Tue Jan 4 2000,Portland Trail Blazers,114,Toronto Raptors,90,Box Score,,19800,
Wed Jan 5 2000,Detroit Pistons,120,Atlanta Hawks,108,Box Score,,15849,
Wed Jan 5 2000,Washington Wizards,66,Chicago Bulls,77,Box Score,,21869,
Wed Jan 5 2000,Los Angeles Clippers,101,Los Angeles Lakers,118,Box Score,,18788,
Wed Jan 5 2000,Vancouver Grizzlies,96,Orlando Magic,116,Box Score,,12904,
Wed Jan 5 2000,Golden State Warriors,92,Philadelphia 76ers,113,Box Score,,13845,
Wed Jan 5 2000,Seattle SuperSonics,99,San Antonio Spurs,96,Box Score,,14741,
Wed Jan 5 2000,Charlotte Hornets,96,Utah Jazz,118,Box Score,,19518,
Thu Jan 6 2000,Golden State Warriors,75,Cleveland Cavaliers,90,Box Score,,11238,
Thu Jan 6 2000,Utah Jazz,105,Dallas Mavericks,92,Box Score,,12218,
Thu Jan 6 2000,Indiana Pacers,102,Denver Nuggets,87,Box Score,,14569,
Thu Jan 6 2000,Milwaukee Bucks,95,Detroit Pistons,101,Box Score,,14233,
Thu Jan 6 2000,Houston Rockets,99,Miami Heat,111,Box Score,,19600,
Thu Jan 6 2000,Portland Trail Blazers,96,Minnesota Timberwolves,98,Box Score,,15223,
Thu Jan 6 2000,Sacramento Kings,89,Toronto Raptors,101,Box Score,,19800,
Fri Jan 7 2000,Toronto Raptors,97,Atlanta Hawks,105,Box Score,,14452,
Fri Jan 7 2000,Sacramento Kings,93,Boston Celtics,101,Box Score,,18624,
Fri Jan 7 2000,Charlotte Hornets,83,Los Angeles Lakers,87,Box Score,,18997,
Fri Jan 7 2000,Vancouver Grizzlies,101,New Jersey Nets,91,Box Score,,14246,
Fri Jan 7 2000,New York Knicks,94,Orlando Magic,86,Box Score,,17248,
Fri Jan 7 2000,San Antonio Spurs,102,Phoenix Suns,83,Box Score,,19023,
Fri Jan 7 2000,Chicago Bulls,110,Washington Wizards,103,Box Score,,12223,
Sat Jan 8 2000,Boston Celtics,79,Chicago Bulls,96,Box Score,,22252,
Sat Jan 8 2000,Atlanta Hawks,85,Dallas Mavericks,95,Box Score,,12814,
Sat Jan 8 2000,Charlotte Hornets,92,Denver Nuggets,97,Box Score,,18408,
Sat Jan 8 2000,Minnesota Timberwolves,110,Detroit Pistons,105,Box Score,,20529,
Sat Jan 8 2000,Utah Jazz,103,Houston Rockets,87,Box Score,,16285,
Sat Jan 8 2000,Indiana Pacers,94,Los Angeles Clippers,107,Box Score,,17004,
Sat Jan 8 2000,New Jersey Nets,90,Miami Heat,89,Box Score,,19036,
Sat Jan 8 2000,Washington Wizards,129,Milwaukee Bucks,130,Box Score,2OT,15612,
Sat Jan 8 2000,Cleveland Cavaliers,89,New York Knicks,86,Box Score,,19763,
Sat Jan 8 2000,Phoenix Suns,91,Portland Trail Blazers,96,Box Score,,20584,
Sat Jan 8 2000,Orlando Magic,92,San Antonio Spurs,127,Box Score,,20131,
Sat Jan 8 2000,Los Angeles Lakers,110,Seattle SuperSonics,100,Box Score,,17072,
Sun Jan 9 2000,Seattle SuperSonics,100,Golden State Warriors,95,Box Score,OT,11263,
Sun Jan 9 2000,Minnesota Timberwolves,123,Philadelphia 76ers,112,Box Score,,20232,
Sun Jan 9 2000,Indiana Pacers,113,Sacramento Kings,116,Box Score,,17317,
Sun Jan 9 2000,Vancouver Grizzlies,107,Toronto Raptors,97,Box Score,,19188,
Mon Jan 10 2000,Vancouver Grizzlies,112,Boston Celtics,103,Box Score,,14876,
Mon Jan 10 2000,Los Angeles Clippers,106,Cleveland Cavaliers,111,Box Score,,11475,
Mon Jan 10 2000,Denver Nuggets,95,Los Angeles Lakers,130,Box Score,,18997,
Mon Jan 10 2000,Charlotte Hornets,87,Milwaukee Bucks,137,Box Score,,13159,
Mon Jan 10 2000,New Jersey Nets,100,Orlando Magic,94,Box Score,,12664,
Mon Jan 10 2000,Dallas Mavericks,94,Portland Trail Blazers,107,Box Score,,19980,
Mon Jan 10 2000,Utah Jazz,86,San Antonio Spurs,93,Box Score,,17944,
Tue Jan 11 2000,Dallas Mavericks,109,Golden State Warriors,102,Box Score,,9887,
Tue Jan 11 2000,Miami Heat,116,Minnesota Timberwolves,106,Box Score,,15121,
Tue Jan 11 2000,Chicago Bulls,88,New York Knicks,95,Box Score,,19763,
Tue Jan 11 2000,Houston Rockets,93,Sacramento Kings,110,Box Score,,17317,
Tue Jan 11 2000,Phoenix Suns,88,Seattle SuperSonics,101,Box Score,,13912,
Tue Jan 11 2000,Toronto Raptors,89,Washington Wizards,117,Box Score,,13610,
Wed Jan 12 2000,Los Angeles Clippers,88,Boston Celtics,95,Box Score,,15761,
Wed Jan 12 2000,Seattle SuperSonics,103,Denver Nuggets,93,Box Score,,12408,
Wed Jan 12 2000,New York Knicks,108,Detroit Pistons,114,Box Score,,16619,
Wed Jan 12 2000,Washington Wizards,102,Indiana Pacers,117,Box Score,,18345,
Wed Jan 12 2000,Los Angeles Lakers,103,Milwaukee Bucks,94,Box Score,,18717,
Wed Jan 12 2000,Cleveland Cavaliers,75,Portland Trail Blazers,95,Box Score,,19980,
Wed Jan 12 2000,Orlando Magic,102,Toronto Raptors,108,Box Score,,17241,
Wed Jan 12 2000,Phoenix Suns,95,Vancouver Grizzlies,92,Box Score,,14404,
Thu Jan 13 2000,Houston Rockets,108,Golden State Warriors,100,Box Score,,10123,
Thu Jan 13 2000,Boston Celtics,85,Minnesota Timberwolves,103,Box Score,,14659,
Thu Jan 13 2000,Los Angeles Clippers,105,New Jersey Nets,110,Box Score,,15535,
Thu Jan 13 2000,San Antonio Spurs,103,Sacramento Kings,107,Box Score,,17317,
Thu Jan 13 2000,Miami Heat,83,Utah Jazz,93,Box Score,,19543,
Fri Jan 14 2000,Atlanta Hawks,89,Chicago Bulls,83,Box Score,,22054,
Fri Jan 14 2000,Miami Heat,92,Denver Nuggets,87,Box Score,,15730,
Fri Jan 14 2000,Washington Wizards,98,Detroit Pistons,105,Box Score,,16008,
Fri Jan 14 2000,Los Angeles Lakers,102,Indiana Pacers,111,Box Score,,18345,
Fri Jan 14 2000,Orlando Magic,100,Philadelphia 76ers,102,Box Score,,19076,
Fri Jan 14 2000,Portland Trail Blazers,105,Phoenix Suns,83,Box Score,,19023,
Fri Jan 14 2000,San Antonio Spurs,85,Seattle SuperSonics,91,Box Score,,17072,
Fri Jan 14 2000,Milwaukee Bucks,110,Toronto Raptors,115,Box Score,,19246,
Fri Jan 14 2000,Cleveland Cavaliers,82,Vancouver Grizzlies,80,Box Score,,13161,
Sat Jan 15 2000,Philadelphia 76ers,101,Atlanta Hawks,98,Box Score,,19445,
Sat Jan 15 2000,Houston Rockets,93,Chicago Bulls,90,Box Score,,22261,
Sat Jan 15 2000,Portland Trail Blazers,105,Dallas Mavericks,113,Box Score,,18148,
Sat Jan 15 2000,Sacramento Kings,114,Golden State Warriors,99,Box Score,,18372,
Sat Jan 15 2000,Toronto Raptors,97,Milwaukee Bucks,118,Box Score,,18717,
Sat Jan 15 2000,Los Angeles Lakers,104,Minnesota Timberwolves,91,Box Score,,19767,
Sat Jan 15 2000,Boston Celtics,99,New Jersey Nets,96,Box Score,,17050,
Sat Jan 15 2000,Charlotte Hornets,79,New York Knicks,91,Box Score,,19763,
Sat Jan 15 2000,Indiana Pacers,96,Orlando Magic,89,Box Score,,14456,
Sat Jan 15 2000,Los Angeles Clippers,75,Utah Jazz,112,Box Score,,19911,
Sat Jan 15 2000,Detroit Pistons,112,Washington Wizards,107,Box Score,,17072,
Sun Jan 16 2000,Denver Nuggets,100,Phoenix Suns,113,Box Score,,19023,
Sun Jan 16 2000,Cleveland Cavaliers,102,Sacramento Kings,113,Box Score,,17317,
Sun Jan 16 2000,Miami Heat,94,Vancouver Grizzlies,83,Box Score,,15456,
Mon Jan 17 2000,Milwaukee Bucks,107,Atlanta Hawks,101,Box Score,,19261,
Mon Jan 17 2000,Toronto Raptors,94,Charlotte Hornets,115,Box Score,,20278,
Mon Jan 17 2000,Houston Rockets,121,Dallas Mavericks,111,Box Score,,15080,
Mon Jan 17 2000,Orlando Magic,100,Golden State Warriors,113,Box Score,,8893,
Mon Jan 17 2000,San Antonio Spurs,99,Los Angeles Clippers,93,Box Score,,14264,
Mon Jan 17 2000,Seattle SuperSonics,82,Los Angeles Lakers,81,Box Score,,18997,
Mon Jan 17 2000,Indiana Pacers,100,Minnesota Timberwolves,101,Box Score,,16731,
Mon Jan 17 2000,Detroit Pistons,94,New York Knicks,105,Box Score,,19763,
Mon Jan 17 2000,New Jersey Nets,96,Philadelphia 76ers,101,Box Score,,20062,
Mon Jan 17 2000,Boston Celtics,105,Washington Wizards,101,Box Score,,14441,
Tue Jan 18 2000,Portland Trail Blazers,89,Houston Rockets,90,Box Score,,16285,
Tue Jan 18 2000,Chicago Bulls,92,Miami Heat,85,Box Score,OT,19344,
Tue Jan 18 2000,Los Angeles Clippers,98,Sacramento Kings,104,Box Score,,17317,
Tue Jan 18 2000,Cleveland Cavaliers,80,Seattle SuperSonics,99,Box Score,,13326,
Wed Jan 19 2000,Toronto Raptors,90,Boston Celtics,94,Box Score,,16124,
Wed Jan 19 2000,Charlotte Hornets,96,Chicago Bulls,86,Box Score,,21906,
Wed Jan 19 2000,Milwaukee Bucks,84,Indiana Pacers,106,Box Score,,18345,
Wed Jan 19 2000,Cleveland Cavaliers,86,Los Angeles Lakers,95,Box Score,,18997,
Wed Jan 19 2000,New Jersey Nets,89,New York Knicks,90,Box Score,,19763,
Wed Jan 19 2000,Atlanta Hawks,89,Philadelphia 76ers,107,Box Score,,16288,
Wed Jan 19 2000,Portland Trail Blazers,105,San Antonio Spurs,95,Box Score,,20638,
Wed Jan 19 2000,Minnesota Timberwolves,91,Utah Jazz,88,Box Score,,19678,
Wed Jan 19 2000,Dallas Mavericks,104,Washington Wizards,86,Box Score,,11358,
Thu Jan 20 2000,Philadelphia 76ers,100,Charlotte Hornets,109,Box Score,,16160,
Thu Jan 20 2000,Denver Nuggets,115,Houston Rockets,122,Box Score,,14591,
Thu Jan 20 2000,Seattle SuperSonics,104,Milwaukee Bucks,96,Box Score,,14087,
Thu Jan 20 2000,Detroit Pistons,120,New Jersey Nets,122,Box Score,,15222,
Thu Jan 20 2000,Orlando Magic,103,Sacramento Kings,111,Box Score,,17317,
Thu Jan 20 2000,Utah Jazz,94,Vancouver Grizzlies,89,Box Score,,12909,
Fri Jan 21 2000,Seattle SuperSonics,86,Boston Celtics,111,Box Score,,18624,
Fri Jan 21 2000,Phoenix Suns,101,Denver Nuggets,99,Box Score,,18221,
Fri Jan 21 2000,Cleveland Cavaliers,103,Golden State Warriors,115,Box Score,,10059,
Fri Jan 21 2000,Minnesota Timberwolves,95,Los Angeles Clippers,89,Box Score,,12853,
Fri Jan 21 2000,Atlanta Hawks,79,Miami Heat,101,Box Score,,19600,
Fri Jan 21 2000,Indiana Pacers,113,Washington Wizards,123,Box Score,,17055,
Sat Jan 22 2000,Washington Wizards,93,Atlanta Hawks,111,Box Score,,15998,
Sat Jan 22 2000,Boston Celtics,96,Charlotte Hornets,110,Box Score,,18900,
Sat Jan 22 2000,Detroit Pistons,92,Chicago Bulls,98,Box Score,,22191,
Sat Jan 22 2000,Portland Trail Blazers,95,Los Angeles Lakers,91,Box Score,,18997,
Sat Jan 22 2000,Dallas Mavericks,95,New Jersey Nets,98,Box Score,,13682,
Sat Jan 22 2000,Indiana Pacers,97,Philadelphia 76ers,103,Box Score,,20623,
Sat Jan 22 2000,Cleveland Cavaliers,88,Phoenix Suns,101,Box Score,,19023,
Sat Jan 22 2000,Utah Jazz,104,Sacramento Kings,101,Box Score,,17317,
Sat Jan 22 2000,New York Knicks,83,San Antonio Spurs,96,Box Score,,34429,
Sat Jan 22 2000,Orlando Magic,85,Vancouver Grizzlies,82,Box Score,,11817,
Sun Jan 23 2000,Dallas Mavericks,99,Detroit Pistons,91,Box Score,,13047,
Sun Jan 23 2000,Minnesota Timberwolves,99,Golden State Warriors,81,Box Score,,11569,
Sun Jan 23 2000,Miami Heat,88,Houston Rockets,101,Box Score,,15292,
Sun Jan 23 2000,Orlando Magic,102,Los Angeles Clippers,89,Box Score,,10312,
Sun Jan 23 2000,Seattle SuperSonics,77,Toronto Raptors,94,Box Score,,19800,
Mon Jan 24 2000,Indiana Pacers,82,Chicago Bulls,83,Box Score,,21911,
Mon Jan 24 2000,Vancouver Grizzlies,98,Denver Nuggets,110,Box Score,,10884,
Mon Jan 24 2000,Seattle SuperSonics,106,New York Knicks,112,Box Score,,19763,
Mon Jan 24 2000,New Jersey Nets,87,Portland Trail Blazers,101,Box Score,,19980,
Mon Jan 24 2000,Los Angeles Lakers,101,Utah Jazz,105,Box Score,2OT,19911,
Tue Jan 25 2000,Chicago Bulls,89,Atlanta Hawks,96,Box Score,,12579,
Tue Jan 25 2000,Sacramento Kings,110,Charlotte Hornets,99,Box Score,,17370,
Tue Jan 25 2000,Detroit Pistons,107,Cleveland Cavaliers,116,Box Score,OT,10930,
Tue Jan 25 2000,Golden State Warriors,103,Dallas Mavericks,117,Box Score,,13164,
Tue Jan 25 2000,Minnesota Timberwolves,92,Houston Rockets,84,Box Score,,15094,
Tue Jan 25 2000,Phoenix Suns,87,Indiana Pacers,93,Box Score,,18345,
Tue Jan 25 2000,Boston Celtics,89,Miami Heat,115,Box Score,,19026,
Tue Jan 25 2000,Los Angeles Clippers,82,San Antonio Spurs,105,Box Score,,14800,
Wed Jan 26 2000,Sacramento Kings,104,Milwaukee Bucks,112,Box Score,,16931,
Wed Jan 26 2000,Boston Celtics,89,Orlando Magic,111,Box Score,,14101,
Wed Jan 26 2000,Phoenix Suns,93,Philadelphia 76ers,87,Box Score,,19450,
Wed Jan 26 2000,New Jersey Nets,92,Seattle SuperSonics,95,Box Score,,13340,
Wed Jan 26 2000,Washington Wizards,105,Toronto Raptors,120,Box Score,,17582,
Wed Jan 26 2000,Vancouver Grizzlies,116,Utah Jazz,99,Box Score,,19080,
Thu Jan 27 2000,Detroit Pistons,102,Charlotte Hornets,117,Box Score,,16238,
Thu Jan 27 2000,Orlando Magic,90,Cleveland Cavaliers,102,Box Score,,10967,
Thu Jan 27 2000,Los Angeles Clippers,90,Dallas Mavericks,99,Box Score,,11927,
Thu Jan 27 2000,Golden State Warriors,115,Houston Rockets,110,Box Score,,13998,
Thu Jan 27 2000,Utah Jazz,75,Portland Trail Blazers,85,Box Score,,20534,
Thu Jan 27 2000,Minnesota Timberwolves,80,San Antonio Spurs,92,Box Score,,15911,
Thu Jan 27 2000,New Jersey Nets,106,Vancouver Grizzlies,108,Box Score,,11934,
Fri Jan 28 2000,New York Knicks,96,Atlanta Hawks,98,Box Score,OT,18596,
Fri Jan 28 2000,Phoenix Suns,88,Boston Celtics,91,Box Score,,18624,
Fri Jan 28 2000,Sacramento Kings,102,Chicago Bulls,90,Box Score,,22292,
Fri Jan 28 2000,Houston Rockets,98,Denver Nuggets,104,Box Score,,15418,
Fri Jan 28 2000,Milwaukee Bucks,89,Los Angeles Lakers,117,Box Score,,18997,
Fri Jan 28 2000,Miami Heat,93,Toronto Raptors,108,Box Score,,19800,
Sat Jan 29 2000,Phoenix Suns,79,Charlotte Hornets,100,Box Score,,19366,
Sat Jan 29 2000,Toronto Raptors,106,Chicago Bulls,89,Box Score,,22104,
Sat Jan 29 2000,Denver Nuggets,96,Dallas Mavericks,107,Box Score,,16674,
Sat Jan 29 2000,Philadelphia 76ers,88,Detroit Pistons,90,Box Score,,20158,
Sat Jan 29 2000,Miami Heat,84,Indiana Pacers,94,Box Score,,18345,
