Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu Nov 11 1999,Orlando Magic,101,Indiana Pacers,116,Box Score,,18345,
Thu Nov 11 1999,Dallas Mavericks,105,Miami Heat,128,Box Score,,14683,
Thu Nov 11 1999,New York Knicks,90,Minnesota Timberwolves,93,Box Score,,18397,
Fri Nov 12 1999,New York Knicks,74,Boston Celtics,80,Box Score,,18624,
Fri Nov 12 1999,New Jersey Nets,92,Charlotte Hornets,96,Box Score,,16668,
Fri Nov 12 1999,Portland Trail Blazers,93,Denver Nuggets,78,Box Score,,17512,
Fri Nov 12 1999,Houston Rockets,97,Los Angeles Lakers,81,Box Score,,18359,
Fri Nov 12 1999,Phoenix Suns,92,Milwaukee Bucks,107,Box Score,,16137,
Fri Nov 12 1999,Chicago Bulls,86,Philadelphia 76ers,92,Box Score,,18120,
Fri Nov 12 1999,Utah Jazz,92,Sacramento Kings,105,Box Score,,17317,
Fri Nov 12 1999,Golden State Warriors,103,Vancouver Grizzlies,93,Box Score,,12792,
Fri Nov 12 1999,Miami Heat,104,Washington Wizards,95,Box Score,,13941,
Sat Nov 13 1999,Boston Celtics,91,Chicago Bulls,92,Box Score,,22108,
Sat Nov 13 1999,Milwaukee Bucks,112,Cleveland Cavaliers,117,Box Score,,18640,
Sat Nov 13 1999,Orlando Magic,117,Dallas Mavericks,125,Box Score,,12558,
Sat Nov 13 1999,Seattle SuperSonics,99,Detroit Pistons,107,Box Score,,14266,
Sat Nov 13 1999,Houston Rockets,103,Golden State Warriors,95,Box Score,,11684,
Sat Nov 13 1999,Washington Wizards,83,Indiana Pacers,105,Box Score,,18345,
Sat Nov 13 1999,Phoenix Suns,100,Minnesota Timberwolves,111,Box Score,,20003,
Sat Nov 13 1999,Atlanta Hawks,95,Portland Trail Blazers,131,Box Score,,20404,
Sat Nov 13 1999,Charlotte Hornets,79,San Antonio Spurs,95,Box Score,,19669,
Sun Nov 14 1999,Atlanta Hawks,88,Los Angeles Lakers,93,Box Score,,18510,
Sun Nov 14 1999,Miami Heat,94,New York Knicks,88,Box Score,,19763,
Sun Nov 14 1999,Denver Nuggets,116,Sacramento Kings,126,Box Score,,15491,
Sun Nov 14 1999,Philadelphia 76ers,93,Toronto Raptors,90,Box Score,,16661,
Sun Nov 14 1999,Los Angeles Clippers,89,Vancouver Grizzlies,109,Box Score,,12774,
Mon Nov 15 1999,Indiana Pacers,96,Houston Rockets,87,Box Score,,14866,
Mon Nov 15 1999,Seattle SuperSonics,100,New Jersey Nets,92,Box Score,,12474,
Mon Nov 15 1999,Los Angeles Lakers,91,Phoenix Suns,82,Box Score,,19023,
Mon Nov 15 1999,San Antonio Spurs,85,Utah Jazz,91,Box Score,,19584,
Tue Nov 16 1999,Charlotte Hornets,98,Atlanta Hawks,103,Box Score,,11426,
